,Id_block_Mots_en_commun,Mots_en_commun,Id_block_Mots_differents,Mots_dans_nrc_pas_dans_elal,Id_block_Mots_als,Mots_en_alsacien,Id_block_text_fr,Text_fr,Id_block_text_als,Text_als
0,0.0,peine,,,0.0,Kriz,0.0,"J'ai beaucoup de peine ;
à tout moment M. le Dr Freundlich peut venir de la ville pour demander ma main à mon père, dans la bonne pensée que le père sait tout.
Ce serait une jolie histoire !
le père ne veut pas entendre parler d’un homme de la ville.
Si le père n'était pas de mauvaise humeur .....
",0.0,"S'isch m'r ganz e Kriz,
alle-n-Äujeblick muess d'r Herr Dr. Freundlich kumme-n-üs d'r Stadt, um bim Vater um mini Hand anzehalte, in d'r guete Meinung d'r Vater weiss alles.
Diss wurd m'r e süfere G’schicht gän....,
d'r Vater wie pardü nix vum e Stadtherr wisse will.
Wenn d'r Vater numme nit so böes gelünt wär.....
"
1,0.0,demander,0.0,moment,0.0,Herr,1.0,"C'est la malchance!
D'abord il est pris par ses rhumatismes, et c'est alors l'adjoint qui devient le maître au Conseil Municipal.
Oui, ce qui l'a rendu le plus furieux, c’est que le « Schulzebür » de Ziwelse, a reçu la médaille de la couronne de 4e classe — et il ne l'a pas encore.
Jésus, Marie!
Tu entends, Marguerite !
",1.0,"Die Malchance!
Z'erscht krejt'r sini Rhümatisse, no wurd d'r Adjunt Meischter im Gemänerath.....
Jo, un was ne ganz üsser Rand und Band gebrocht hett, diss isch, dass d'r Schulzebür vun Ziwelse de Kronen-Ordre IV. Class krejt hett, un er hett ne noch nit
Jesses Maria!
Grethl hörsch ?
"
2,0.0,père,0.0,ville,0.0,Freundlich,2.0,"Cache vite ce roman, sinon il gronderait de nouveau.
Oui, vous le savez, j'en ai assez de vous, oui assez ;
je vous donne congé pour Noël.
Voilà déjà 40 ans que je me laisse mener par vous, mais maintenant, ma patience est à bout.
— Aïe ! mes rhumatismes !
",2.0,"Mach g'schwind denne Roman weck, schunscht schilt 'r wid'r.
Ja, un dass 'r 's wisse, ich hab's satt mit-i, satt hawi's mit-i;
uff Wihnachte kind ich ejch uff!
Ich hab mi jetzt schun ball vierzig Johr vun-i kummedeere lon, awer jetzt isch m'r d'r Geduldfade verrisse.
— Ei mini Rhümatisse!
"
3,0.0,homme,,,0.0,kumme,3.0,"Ce qui s'est passé ?
Quoi, il faut qu'elle parte. Il n'y a rien à faire avec elle.
Elle fait ce qu'elle veut.
J'ai voulu qu'elle fit des petits pâtés au jus et des boulettes de moëlle pour la soupe.
Eh bien! que croyez-vous qu'elle a fait ?
",3.0,"Was paaseert isch?
Was? — Zuem Hüs nüs muess se, s’isch nix meh mit ere anzefange.
Sie isch allewyl ihr Kopfs!
— Ich hab welle han, dass se wie gewöhnli am Massti Suppepastetle macht un Marikknöpfle in d'Supp.
— Jetzt, was mäne-n-ihr?
"
4,1.0,malchance,0.0,main,0.0,Vater,4.0,"Est-ce un dîner pour une fête?
Un dîner pour une fête, sans pâtés au jus et sans boulettes de moëlle pour la soupe? que penseraient nos invités ?
Ils penseraient qu'ils ne sont pas invités chez M. le Maire, mais chez la racaille, chez des vanniers, des ramoneurs.
Une fête sans pâtés au jus et sans boulettes de moëlle, est-ce permis ?
Personne n’a vu cela, de son vivant.
",4.0,"Isch diss äu e-n-Asse for e Massti?
— E Masstiasse ohne Suppepastetle un Marikknöpfle in d'r Supp, was wäre do unseri Visite säuje?
Die wäre mäne, sie sin anstatt bim Herr Maire, bie Lumpevolik, bie Korbmacher, bie Kesselflicker ingelade!
E Massti ohne Suppepastetle un Marikknöpfle, ob diss gepermetteert isch!
— Ebb diss schun än Mensch erlebt hett.
"
5,1.0,furieux,,,0.0,guete,5.0,"Françoise est une vieille femme bizarre.
Voilà déjà 40 ans qu’elle travaille dans la maison, il faut avoir un peu d’indulgence.
Personne n'est parfait.
Vieille femme par-ci, vieille femme par-là.
S'il n'y avait que les pâtés au jus et les boulettes de moëlle, je ne dirais rien, mais elle a fait seulement 20 Kugelhopf au lieu de 40, et elle n'a mis au feu qu'une livre de saucisse par personne.
",5.0,"D'Fränz isch e-n-alti wunderlichi Fräuj.
Sie isch jetzt schun noht an veerzig Johr im Hüs, do muess m'r e bissel Nochsahns han.
Kenn Mensch isch perfekt.
Alti Fräuj hin od’r here.
— Wenn diss alles wär mit de Pastetle und Marikknöpfle, wott i nit emol nix säuje, sie hett awer äu numme 20 Kuejellupfe gebache anstatt veerzig, un numme än Pfund Brotwurscht iwwer gemacht uff d'Person.
"
6,1.0,médaille,0.0,histoire,0.0,Meinung,6.0,"Naturellement pour une poupée en soie comme tu es devenue à la pension et qui veut jouer la demoiselle distinguée, cela suffirait, mais pour quelqu'un comme moi, c'est insuffisant.
Et puis, basta !
Il faut que Françoise s’en aille ; elle m'a gâté toute la fête.
Pas de pâtés au jus, pas de boulettes de moëlle, trop peu de Kugelhopf et de saucisse, il faut être patient comme «le veau de Moïse » pour n’en avoir pas la joie troublée !
Avec cela, elle veut toujours commander.
",6.0,"Natierli for so e Siedebibb'l, wie in d'r Pension isch gewahn wie dü, un wie d'fin Mamsell speele will, ze kann's reiche, awer for ünsereins reichts nit.
Und do d’rmit baschta !
— D'Fränz muess zuem Hüs nüs, sie hett m'r de ganze Masti verdorwe !
Kenn Suppepastetle, kenn Marikknöpfle. ze weni Kuejllupfe un Brotwuerscht, do müesst äner schun e geduldigs Kalb Moses sin, wenn'r sich do nit verzirne thät.
un do d'rbie ze will se-n-äu noch allewyl kummedeere.
"
7,2.0,congé,0.0,entendre,0.0,süfere,7.0,"«Il faut que vous fassiez comme ceci et comme cela.»
Si vous ne demandiez pas son opinion ....
Ne pas demander ?
Ne pas demander ?
Une fois pour toutes, je ne veux plus qu'on me commande.
",7.0,"e so oder so muehn'r ‘s mache !
Wenn ihr se nit iwwer ihri Mänung fröuje täte.....
Fröüje täte?!
— Fröüje täte!!
— Än for allemol ich will nemmi kummedeert sin.
"
8,3.0,bien,0.0,parler,0.0,gän,8.0,"J'en ai assez, il faut qu’elle parte.
Combien de fois vous avez déjà répété la même chose.
Aussi loin que me reportent mes souvenirs, je vous l'ai entendu dire tous les huit jours au moins vingt fois.
Maintenant, cela n’est pas bon pour moi.
On n'obtient pas justice de ses propres enfants;
",8.0,"— Ich habs satt, sie muess zuem Hüs nüs !
Wie viel Mol han'r jetzt diss schun g'säit.
Zett'r dass mir's gedenkt, ze han'r ere alle acht Daj wenigstens zwanzig Mol uffgekind.
Jetzt wurd's m'r nit besser.
Wenn m'r nit emol vun sine ejene King meh recht bekummt.
"
9,4.0,vivant,,,0.0,böes,9.0,"Si cela continue, vous donnerez aussi raison à l’adjoint, s'il me met un bâton dans les roues et vous donnerez raison au Gouvernement, si l’adjoint reçoit une médaille à ma place.
Nom d'un chien!
Il est temps que tu te maries et que tu t'en ailles, Marguerite, car tu commences à te moquer de moi.
Grand Dieu! pas de chance! ce n'est pas le moment de dire que l'homme de la ville va venir.
Si le «Seppl de Dingelse» vient, qu'il te veuille et que tu lui plaises, il faut qu'il t'épouse aussitôt que possible, pour que tu t'en ailles.
",9.0,"Wenn's e so furt geht, ze gän 'r am End vum Leed noch im Adjund recht, wenn 'r mir e Stecke in's Rad steckt, un gäbte im Gouverlement recht, wenn d'r Adjund e-n-Ordre bekämt anstatt ich.
— Fahnebibbl nochemol!
S'isch Zytt, dass de hieroth'sch un zuem Hüs nüs kummsch, Grethl, denn apparti dü muesch m'r allewyl s'Mül anhenke.
Grosser Gott, kenn Chance, s'isch widd'r d'r Moment nit for ze säuje, dass e Herr üs d'r Stadt kumme sell for mich.
Wenn hytt d'r Seppl vun Dingelse kummt un er dich will un dü im g'fälsch, ze muess 'r dich hierothe so ball, dass möjli, dass de zuem Tempel nüs kummsch.
"
