speaker,sex,text
marie_engel,F,"Mutter
(steht hinter Berthe und kämmt ihr das Haar):
Dis weiß d'r lieb Herrgott, was dü mit dine Hoor machsch. Als widder verstruwwelt und verzüst. For
          dich könnt m'r ellein e Coiffeur anstelle, daß de nit alle-gelde-n-erüslüejsch wie e
          Ziginnersmaidel.
"
berthe,F,"Berthe :
Auah! Auah! De machsch m'r weh, Mamme.
"
marie_engel,F,"Mutter :
Halt! e bissele still, daß ich dich strähle kann. Ropfe müeß ich dich halt schun, bisch ganz ellein
          schuld dran. Wo isch din Zopfbendel? Hesch ne 'mol widder verlore?
"
berthe,F,"Berthe :
Do isch 'r jo!
"
marie_engel,F,"Mutter :
Gib here! 
          
"
berthe,F,"Berthe :
Ich hab sie gemacht, awer 's Lucie müeß mich emol de Katechisme üwwerhöre, ob ich ne au güet kann.
          Wurum kummt's denn so lang nit?
"
marie_engel,F,"Mutter :
Fröuj's doch selbscht; es saat m'r 's nit, was for Gschäfte 's het.
"
berthe,F,"Berthe :
Denk emol, grad ewwe-n-isch e Herr do gsin, un het noch em gfröujt.
"
marie_engel,F,"Mutter :
Wo?
"
berthe,F,"Berthe :
Uff d'r Gaß.
"
marie_engel,F,"Mutter :
E Herr?
"
berthe,F,"Berthe :
Ja, e schöner großer Herr isch kumme, mit eme schwarze Schnützer un eme goldene pince-nez. Der het
          noch'm Lucie gfröujt. No hawi g'saat: 's isch nit d'heim. No het er gsaat: gell, dü bisch sicherlich 's
          Schweschterle züem. No hawi g'saat: ja. No het er gsaat: dis isch awer schad, ich bin arig pressirt. —
          Un derno isch er widder furt gange.
"
marie_engel,F,"Mutter :
's isch güet. Ich saa's im, wenn's heime kummt.
"
berthe,F,"Berthe :
O jeh, d'r Babbe! Ich glaub, er het schun widder eini.
"
joseph_engel,M,"Vater
(Trinkergesicht; farbiges Hemd, verschlissene Sammthose, Gurt, abgetragener Rock und hohe Mütze;
          angetrunken, rennt an Berthe an) :
Mach, daß de m'r üs de Füeß gehsch, Krott, elendi! Sunsch gitts Schmier! Sacré matin noch emol!
"
marie_engel,F,"Mutter :
Seij mit dem Kind doch nit so grob. 's het d'r jo nix gemacht.
          
"
