speaker,sex,text
cecile,FEMALE,"Cécile
(häßliche Person, ungefähr 40 Jahre alt; dabei beschäftigt, die Möbel abzuwischen ; sie spricht
          durch die Nase):
Gottlob, jetz bin i ferdi. Stuwwe-n-un Better mache, uff de Merk gehn, koche, wäsche-n-un beijle, so
          geht ’s jetz schun ball e Johrer fuffzeh daadäjli in einere Lier furt, ohne changement un distraction .
          . . . ’s isch schier züem verzwazzle! 
          
"
e_kommissionaer,MALE,"Kommissionär:
Bonjour, Mamsell.
"
cecile,FEMALE,"Cécile:
Um Gottswille — — bin i jetz verschrocke — —
"
e_kommissionaer,MALE,"Kommissionär:
Wohnt do d’r Herr Anatole Stieffatre?
"
cecile,FEMALE,"Cécile:
Ganz erecht. Sie wölle züem? Do drinnen-isch ’r.
"
e_kommissionaer,MALE,"Kommissionär:
Het d’r Herr Stieffatre d’ Sache gerüscht, wo ich abhole soll? 
          
"
cecile,FEMALE,"Cécile:
Do uff ’m Canapée leijt alles. — — Jetz saaue Sie mir doch emol, was dis beditte soll, daß er dis
          Dings verlehnt. ’s isch doch züe merkwürdig.
"
e_kommissionaer,MALE,"Kommissionär:
(liest ab und nimmt die Stücke auf den Arm)
E paar Hosse — güet, e Schilet — do isch’s, e Rock — do hammer ne, e Schibüs — do leijt ’r, un e
          Bombardon — do steht ’r. Helfe Sie m’r e bissel. — So, merci.
"
cecile,FEMALE,"Cécile:
Ja awer wurum dis alles?
"
e_kommissionaer,MALE,"Kommissionär:
(ausweichend)
. . . . ’s isch wäje’re Kindtaif, for e güete Frind.
"
cecile,FEMALE,"Cécile:
Au dis Bombardon? Dis kann doch nit möejli sin.
"
e_kommissionaer,MALE,"Kommissionär:
Wurum nit? ’s wurd nit ’s erscht Mol sin, daß uff ere Kindtaif ebbs gebloose wurd.
"
cecile,FEMALE,"Cécile:
Dis isch awer doch züe kürios —
"
e_kommissionaer,MALE,"Kommissionär:
’s geht mich nix an, Mamsell.
"
cecile,FEMALE,"Cécile
(scharf):
Bardon, m’sieur, ich bin Wittfrau.
"
e_kommissionaer,MALE,"Kommissionär:
Macht nix, madame, ich bin Wittmann.
"
