speaker,sex,text
charlot,M,"Charlot:
(kommt durch die Mitte und singt)
""Maiatzel, Dräckspatzel, drej Elle Güggück, es kumme drej Wiewer un esse Sürkrüt."" — 
          
"
charlot,M,"Charlot:
O Nuntebuckel, jetz hett's ingschlaue!
"
knuppe,M,"Knüppe:
Diss isch e Zeiche vun Owe 
          
"
charlot,M,"Charlot:
Meischter nit schiesse — ich bin's, dr Charlot!
"
knuppe,M,"Knüppe:
Dü bisch's — jaa, was machsch denn dü do howe? Worum kummt der Däller uff mine Cylinder?
"
charlot,M,"Charlot:
Meischter, ich bin nitt Schuld, do dr Maiatzel, er hett sich do uf de Däller gsetzt, awer er frisst
          se wenn ich ne verwitscht, mit eim Streich schlaa ich ne hin.
"
knuppe,M,"Knüppe:
(holt den Knieriemen)
Witt dü do rab kumme, awer uf dr Gschtell!
"
charlot,M,"Charlot:
Meischter ich kumm, laje numme de Rieme ewäck, ich wär doch kumme — Meischter ich berej's vom Grunde
          meines Herzens. 
          
"
knuppe,M,"Knüppe:
Dü müesch emol ghöeri abgschmiert sinn, denn dü wursch alle Daa liederlicher — Aaah, dü fangsch
          Maikäfer, allwill ich mit dr Licht geh, statt ass de Schueh ferti machsch. Do kumm häre! 
          
"
charlot,M,"Charlot:
(schreit)
Uuaah — Meischter, nitt so schnell — langsam — Uutsch! 
          
"
knuppe,M,"Knüppe:
Mach die Leiter ewäck — der Elektrisch hätt se schun hole kenne, er isch jo ferti mit sinere Arweit
          — un rüm die Schärwe zamme un no an d'Arweit, sunscht rauchts noch emol in dr Fächtschuel.
"
charlot,M,"Charlot:
Naan, naan Meischter, es brücht nimmi ze rauche. 
          
"
knuppe,M,"Knüppe:
(geheimnisvoll)
Es hängt ebs in der Luft — es schwäwe unsichtbare Geischter mit durchsichtige Flüejel durich d'Luft,
          umgaukle uns un mir kenne se nitt sähne, nit mit ne redde. — Dr Geischt vun mim verstorwene Friend
          Quätschel, wie mr ewe begrawe hann, schwäbt villicht jetzert schun um mich. Wenn ich's ferti dät bringe
          mit de Geischter in Verbindung ze trätte, do dran difftli schun lang. Ich hab mit mine zwei Friend
          Schmätterle un Lastique, wo auch so Spiritiste sinn, do hinne schun e paar Sitzunge abghalte, awer bis
          jetz ohne Erfolg, mir hann noch kenn Geischt banne könne. Es gitt Bücher üwer de Spiritismus, un noch
          denne Büecher soll mr mit de Geischter vun Verstorwene redde kenne un so e Büech haw ich entdeckt. Ich
          hab bie dr Licht e Herr lehre kenne, wo au Spiritist isch un der will mr diss Büech lehne für e Owe.
          Oh, ich brenn ganz vor Verlange mit de Geischter ze redde, ich gschpier schun e Griwle uff-em Buckel un
          e Schücker durichlauft mich vum Kopf bis zum grosse Zeh.
"
charlot,M,"Charlot:
(schmeisst die Scherben zum Fenster hinaus und ruft dann)
""Achtung, es kumme Stüecker!"" 
          
"
knuppe,M,"Knüppe:
Was hesch denn widder gemacht?
"
