speaker,sex,text
alphonsel,M,"Alphonsel
(streckt den Kopf zur Thüre rechts herein):
St, st, Mamsell Colette!
"
colette,F,"Colette:
Was beliebt, — ah Sapristi, d'r Alphonsel isch's ! Wart Knedes, ich will dr d'Lytt so verschrecke
            !
"
alphonsel,M,"Alphonsel:
Oho, Mamsell Colette, ich hab Sie jo noh nie verschreckt, wenn i ne als e Briefel bring.
"
colette,F,"Colette :
Dü kleiner Saperlot ! — Hesch de schun widder eins?
"
alphonsel,M,"Alphonsel:
Ja, do isch's.
"
colette,F,"Colette :
Here mit, postillon d'amour de mon cœur, 
            
"
alphonsel,M,"Alphonsel:
Ich, ich kenn' ne guet.
"
colette,F,"Colette:
So — dü kennsch ne guet?
"
alphonsel,M,"Alphonsel:
Heijo, bring ich nit allewyl sinni Briefle do here? — un d'rno hawi ne schun oft uff d'r Rennbahn
            fahre sehn.
"
colette,F,"Colette:
Jo, dü hesch erecht, hein, der kann's ? E épatanter Typ. De Kilometer macht 'r in ere Minüt un 53
            3/4 Sekunde, départ lancé.
"
alphonsel,M,"Alphonsel:
Ja, ich weiß, diß letscht hett 'r sogar emol e Weltrecord um e Viertelsekund verbessert. Isch's
            nit so, Mamsell Colette ?
"
colette,F,"Colette:
Doch, dü kleiner Hosselottl. Fahrsch dü au schun Velo, daß de dich so interessirsch?
"
alphonsel,M,"Alphonsel:
A noch, wisse Sie, ich helf als im Herr Blotzmeier driwwe d'Velo uffbumbe un schmiere, un do lehnt
            'r m'r als eine vun sinne alte Kärich. Sie sotte emol sehn, wie ich schun loszeij.
"
colette,F,"Colette:
Ha ha ha, do wursch dü halt au am e schöne Daa e Champion oder e Recordman genn. Was witt denn
            wäre ?
"
alphonsel,M,"Alphonsel:
Sie hann's grad geroothe, — Rennfahrer wurr i, sunsch nix.
"
colette,F,"Colette:
Voyons, was schriebt m'r min Shatz? 
            
"
alphonsel,M,"Alphonsel:
Er hett g'faat i soll'm e-n-Antwort bringe.
"
colette,F,"Colette:
Ja, do isch gueter Roth dier. I mueß jo mit d'r Madam furt uff Allerheilige. Herrschaft, diß isch
            m'r jezt e Stoß! Saa-m, es geht nit, un daß i mit d'r Madam furt mueß. Mit dere dumme Partie uff
            Allerheilige !
"
alphonsel,M,"Alphonsel:
Guet Mamsell, — Adje.
"
colette,F,"Colette:
Wart, säh, do hesch for e Wecke. 
            
"
alphonsel,M,"Alphonsel:
I wurr's üsrichte. Bonjour Mamsell Colette.
"
colette,F,"Colette:
Au revoir, Alphonsel — un e schön's Kumpliment, vergiß's nit!
"
alphonsel,M,"Alphonsel:
Wein, nein. 
            
"
contre,M,"Contre
(kommt durch die Mitte):
Elle w'est pas gênée! Hm, hm. 
            
"
colette,F,"Colette:
Grad isch d'Madam kumme, vor e paar Minüte.
"
contre,M,"Contre:
Wo isch sie denn ?
"
colette,F,"Colette:
In ihrem Zimmer, sie düet e paar anderi Hosse an, denn d'andere sinn denne Morje.....
"
contre,M,"Contre:
Hein, was isch ?
"
colette,F,"Colette:
Ja, d'andere han e Schade gelitte. Madame a ramassée une pelle, mais une pelle! — Nein, sehn die
            Hosse üs. — E so langer Schlenzer. 
            
"
contre,M,"Contre:
Isch d'Madam g'falle ? Sie wurd sich doch nit weh gedohn hann?
"
colette,F,"Colette :
O nein Herr, seije Sie nurre getroscht, d'Madam hett's hüsse, wenn sie fallt, duet sie sich 
            
"
contre,M,"Contre:
Colette!
"
colette,F,"Colette:
Pour sür, s'isch ere fascht nix g'schehn. Elle a une veine bleue.
"
contre,M,"Contre
(bei Seite):
Décidément, elle est émancipée cette fille. 
            
"
colette,F,"Colette:
S'isch nix dran. Ein pedale isch e bissel faussiert g'sinn, awer d'r Herr Blotzmeier hett's
            unterwäij's reparirt. Jetzt fehlt ere nur noh e bissel Luft.
"
contre,M,"Contre:
Kein Luft? Was saat Sie jeht diß erersch. Hett sie eng? Do isch sie amend doch krank. Ich mueß
            schnell noch e-re lueije. 
            
"
colette,F,"Colette:
Halte Sie, halte Sie, s'isch jo nur d'r Maschin, wo Luft fehlt, — do hawi d'Luftspritz schun
            gerischt.
"
contre,M,"Contre
(beruhigt):
Ah, très bien, wenn nurre diß Rad in Stücker wär! — Wie steht's mit-em café?
"
colette,F,"Colette:
D'Madam hett g'saat, Sie solle ne nurr ellein trinke, sie hett ne schun denne Morje früeij uff'm
            Fuchsebuckel genumme, entre deux enlevages! —
"
contre,M,"Contre:
Sacré! — ah so, na ze here mit.
"
colette,F,"Colette:
Oui Monsieur, un petit emballage, un i bin in-e-ere Minüt un fünf Sekunde widder do, — grad wie
            d'r Tortino. 
            
"
contre,M,"Contre:
D'r Tortino? — e-n-emballage? — Die wurd m'r noch verrukt. O mit dere nundebuckels Stramplereij. 
            
"
colette,F,"Colette
(ist mit rüsten fertig):
Voilà Monsieur, do isch Ihr café! Awer jetzt mueß i s'Rad g'schwind butze, d'Madam wurd glich eryn
            kumme for's abzehole, sie will widder furt, un ich bin au noch nit gerischt.
"
contre,M,"Contre:
Misère! — In's Gottsnamme butzt Sie was Sie will. Heh, — awer doch nit do hinne, als nüs, hopp, in
            de Gang, oder in d'Küche.
"
colette,F,"Colette:
Za do käm ich schön an. In d'r Küche könnte jo Fettflecke od'r Wasserspriber drankumme, un im
            Gang, do sinn Debbi mit Näjel angemacht, on pourrait crever un pneu. Nein d'Madam lyd's nit.
"
contre,M,"Contre:
Hm, 's wundert mi ball, daß sie diß Möwel nit im Salon oder im Schloofzimmer butze loßt. 
            
"
juliette,F,"Juliette
(rechts herein):
Isch min Rad widder propper ? — Sie brücht jo e-n-Ewigkeit dezue! — Ah, bonjour Jean. 
            
"
contre,M,"Contre:
Bonjour Madame, bisch de schun widder g'stisselt un g'spoort? Wo geht denn d'Reif' schun widder
            anne? Kummsch jo kümm heim, un jezt witt schun widder loß? I mein, de könntsch jetzt d'heim bliewe.
            For denne Morje wär's genue. Tu te fatigues trop, et puis — i hab erfahre, daß de e Burzelbaum
            g'schlaaue hesch. Tu n'as pas mal?
"
juliette,F,"Juliette:
Ach, fangsch de schun widder an? Non, je n'ai rien, sunsch dät i jo d'heime bliewe. Mais, haw' ich
            d'r nit die Wuch g'saat, daß m'r hitt in's Badisch niewer welle, uff Allerheilige. Dü hesch jo
            versproche mit em Zuck nochzekumme. Un jetzt saasch, que je devrai rester là?
"
contre,M,"Contre:
Ma chère, diß hawi wohl g'saat, mais enfin, tu sais, diß ewig geräddels, ce n'est pas du tout mon
            goût, je n'aime pas ga. M'r könnte jo au sunsch ienes anne gehn.
"
juliette,F,"Juliette:
Oui, je sais, daß dü mir die Fraid nit gunsch. So sinn'r alli, ihr Männer. Wenn e 
            
"
contre,M,"Contre:
Bon, voilà que ça recommence. — So hawi 's nit gemeint! Unn wenn i ebs d'rgeije hätt? — Dü bisch
            jo kein Minüt meh d'heim. Un d'rno, weisch, moi qui ne suis pas avec, — dü fahrsch allewyl mit andere
            Lytt.
"
juliette,F,"Juliette:
Mit andere Lytt? mit minnere Mamme, mit dinnere Schweschter, mit'm Colette, voilà tout. Un diß
            heisch dü mit andere Lytt?
"
contre,M,"Contre:
Ma chère, dü hesch einer vergesse, — d'r Herr Blotzmeier !
"
juliette,F,"Juliette:
Der? Der zählt nit, — der fahrt nurre mit.
"
