speaker,sex,text
dominik,M,"Dominik:
(allein, sitzt auf dem Kanapee)
Schlächti Zitte, schlächti Gschäfter. Kenn Trinkgälder. Schun de ganz Döj wart ich uff Gäscht, wie
          d'r Teijfel uff-e-n-armi Seel. Andli hitt owe hett d'r Facteur e Depesch gebrocht 
          
"
felix_kachele,M,"Felix:
(mit Julie durch die Mitte)
Do soll mr nitt wüeti wäre.
"
julie,F,"Julie:
(trägt den Handkoffer und die Schirme)
Endlich allein.
"
felix_kachele,M,"Felix:
(nachspottend)
Endlich allein, endlich allein! Wenn ich nurre emol endlich allein wär. Wenn mr sich uff eijch
          Wibslitt vrlosst, no isch me vrlonn. Ich hab d'r noch extra gsaat, dü sollsch im Güschtäffel jo saue,
          er soll d'r Kinjelestall bschliesse — awer vrgässe — Un wär! Minni Frau — Un die Moor het au noch
          Jungi.
"
julie,F,"Julie:
Awer Felix, sej doch nit so hitt. D'r Güschtäffel wurd schun dran dänke.
"
felix_kachele,M,"Felix:
Dran dänke? Hättsch dü dran gedänkt. O Wiewer wenn ihr halt alt wäre. 
          
"
julie,F,"Jülie:
(setzt sich auf Kanapee, sie hat in der Zeit Hut und Mantel ausgezogen und an den Kleiderhaken
          gehängt)

          
"
felix_kachele,M,"Felix:
(stülpt die Hemdärmel auf)
Do isch frisch Wasser, do wello m'r glich emol e Bad nämme — — ah, isch diss e Genuss. 
          
"
julie,F,"Jülie:
Kenn guet Wort hett-r mr hitt noch gänn — dr Kinjelestall isch d'Hauptsach. Diss isch dr Dank ass
          ich dr zeh Kinder uffgezöje hab.
"
felix_kachele,M,"Felix:
(wieder gut)
Jo, jo Alti!!, jetz sej stille, .. hiel nitt Mamme s'isch nitt so böes gemeint, ich bin jetz emol
          eso: — — 
          
"
julie,F,"Jülie:
Dü wursch halt nitt andersch ... Felix!
"
felix_kachele,M,"Felix:
(zärtlich)
Was denn Schülli?
"
julie,F,"Jülie:
Felix, weisch an was ass ich jetz dänke müess?
"
felix_kachele,M,"Felix:
Kenn Ahnung — an de Kinjelestall?
"
julie,F,"Jülie:
(weich)
Loss doch jetz de Kinjelestall. ..... Höer, wie mr hitt vor 25 Johr als frischgebaches
          Hochzittspärel do im «Kalte Jäger» unser erscht Logie genumme hann, hesch mich do in dem Zimmer in
          d'Aerm genumme, hesch mr e Schmutz gänn un wäiseh noch wie gsaat hesch? ..... Mini liewi, goldichi,
          einzichi Schülli». — Un hitt? — Hitt wäscht er d'Händ.
"
felix_kachele,M,"Felix:
Do haw ich jetz gar nitt dran gedänkt, ass mr hitt uff dr Hochzittsreiss sinn, mit dere Moor do. —
          Na kumm here Mamme. 
          
"
dominik,M,"Dominik:
(kommt d. d. Mitte)
Pardon, ich hab nitt gewüsst, ass die Herrschafte schun do sinn.
"
felix_kachele,M,"Felix:
Oh diss macht nix, nurre erin. Eins vun de Rösser vun dr Poscht isch gfalle un no sinn m'r zue Fues
          here gewalzt. Mir sinn nämlich hie bekannt.
"
dominik,M,"Dominik:
(für sich)
Diss isch doch kenn Hochzittspäärel die zwei Alte.- 
          
"
felix_kachele,M,"Felix:
Jaja. 
          
"
dominik,M,"Dominik:
(für sich)
Diss isch e-n-alter Schmüser. 
          
"
felix_kachele,M,"Felix:
(schreibt)
«Felix Kächele, Friseurmeister aus Strasbourg mit sinere Alte».
"
julie,F,"Jülie:
Awer Felix, schäm di doch.
"
felix_kachele,M,"Felix:
(lachend)
Na schriewe mr: «mit sinere liewe Frau» ... Da... 
          
"
dominik,M,"Dominik:
(sehr höflich die Hand hinhaltend)
Merci Monsieur Kächele.
"
felix_kachele,M,"Felix:
(die Hand drückend)
S'isch gern gschähne, — awer ich hab jetz e Durscht vun dem schriewe. Bringe emol e Flasch Win, awer
          ebs wie lüpft, — hann-er Türkemer Brand?
"
dominik,M,"Dominik:
«Dr kalt Jäger» hett alles.
"
felix_kachele,M,"Felix:
Na zo bringe glich zwei Flasche. Hitt kummts nitt druff an, hitt solls ebbs koschte, gäll Mamme?
"
dominik,M,"Dominik:
(anzüglich)
C'est ça, im kalte Jäger wäre nr guet bsorit, wande ejch nurre an mich. Hann-er schun gsahne,
          frischi Blueme haw ich in s'Zimmet gstellt, diss isch natt, galle? 
          
"
felix_kachele,M,"Felix:
(drückt die Hand)
Merci, ... äh, wie häisse nr denn?
"
dominik,M,"Dominik:
Dominik häiss i. 
          
"
felix_kachele,M,"Felix:
(sich umsehend)
Weisch dü Mamme, die Stubb isch noch ganz genau wie vor 25 Johr. Noch d'nämlich Dapet, noch
          d'nämliche Bilder an de Wänd, nix hett sich verändert in dere Zitt, .... nurre mir.
"
julie,F,"Jülie:
(gerührt)
Nurre mir.
"
felix_kachele,M,"Felix:
Schülli, was bisch dü doch vor 25 Johr e herzichs Mäidele gsinn, rotbackig, e goldichblunder
          Lockekopf un hitt — e-n-alti Pflutt.
"
julie,F,"Jülie:
Psst, Alterle, bild dir jo nitt in, ass dü zitter schöener bisch worre, zällemols e nätter Barickes
          mit-eme Strüwelkopf un jetz e nätter Bluttkopf.
"
felix_kachele,M,"Felix:
Poh, wenn i au e paar Hoor verlore hab, ze bin ich doch noch e ganz nätter Mann un näm's mit-eme
          jede Junge uff im trinke.
"
julie,F,"Jülie:
Diss bringsch noch ferti. Awer jetz rot emol was ich do hab. 
          
"
felix_kachele,M,"Felix:
Dr Schlüssel vum Kinjelestall, gäll?
"
julie,F,"Jülie:
Oh dü, ... nein din Strissel als Hochzitter, diss müen mir doch trawe hitt. 
          
"
felix_kachele,M,"Felix:
Merci Mamme. 
          
"
julie,F,"Jülie:
Felix, wenn de jetz nitt stille bisch ...
"
felix_kachele,M,"Felix:
D'Moor hett doch Jungi, wenn se verrecke un no?
"
julie,F,"Jülie:
(ernst)
Stille sollsch sinn, sunsch geh ich heim zue mine Kinder. 
          
"
felix_kachele,M,"Felix:
(tröstend)
Verstehsch denn kenn Gspass. Sej zefridde. 
          
"
dominik,M,"Dominik:
(kommt herein)
Sott diss am And doch e Hochzitspärel sinn? .... Exküsiere ihr Herrschafte, ich hab geklopft awer es
          hett nieme «Entrez» gsäit. Do bring i dr Win. 
          
"
felix_kachele,M,"Felix:
(die Hand drückend)
Merci, .. wie heisse nr?
"
dominik,M,"Dominik:
Als noch Dominik wann'r nix dergeje hann.
"
felix_kachele,M,"Felix:
(lachend)
Aba, ich hab nix dergeje, ich kann nurre dene dauwe Name niit b'halte.
"
