speaker,sex,text
grossbabbe,MALE,"Grossbabbe:

          
"
schorschel,MALE,"Schorschel:
Grossbabbe, ich bin glich erin wie’s finschter isch worre. Ich hab Angscht dr Hanstrapp kummt.
"
marikel,FEMALE,"Marikel:

          
"
schorschel,MALE,"Schorschel:
Marikel gib mr d’Hütt vun dr Millich.
"
marikel,FEMALE,"Marikel:
Dü wäisch ass d’Hütt füer de Grossbabbe isch.
"
grossbabbe,MALE,"Grossbabbe:
Gib’s em numme wann-r se garn hett — Awer der Bohnekaffe schmeckt so guet, diss esch doch kenn
          Ersatz meh, diss schmeckt ganz andersch ass wie der Wiedegrund.
"
marikel,FEMALE,"Marikel:

          
"
schorschel,MALE,"Schorschel:
Uuh — Kueche! Marikel gäb mr e Stückel Kueche !
"
marikel,FEMALE,"Marikel:
Näin, näin Buwele — der isch fuer morje. Wäisch morje-n-isch Wihnachte un do hett uns d’Mamme als äu
          Kueche gebache.
"
schorschel,MALE,"Schorschel:
Mäinsch kummt hitt Owe äu s’Chrischtkindel zue uns ? Ich hab alle Nacht gebatt ass-es mir ebs
          Schöens bringe soll.
"
grossbabbe,MALE,"Grossbabbe:
Na, wenn dü brav gebatt hesch no bringt’s dir äu ebs Natt’s — Was wottsch am Liebschte vum
          Chrischtkindel ?
"
schorschel,MALE,"Schorschel:
Am liebschte wott ich, ass d’Mamme widder kumme dätt — un no e Farwelad — un no sott dr Babbe kumme.
          Wann’s numme boll kumme duet — ich hab kenn Angscht vor-em Hanstrapp. 
          
"
xaverel,MALE,"Xaverel:

          
"
grossbabbe,MALE,"Grossbabbe:
Was isch dann widder — was isch dann widder ?
"
xaverel,MALE,"Xaverel:
Äi sie ruefe mr alli e Üwername. Dr Schuelmäischter hett mi gfröjt wie „der Ofen“ häisst — no hawi
          gsäit „Furneau“ 
          
"
marikel,FEMALE,"Marikel:
Un dü bisch dracket ! 
          
"
xaverel,MALE,"Xaverel:
Uu-atsch — ich kann jo nix derfüer, sie sinn vun aase verisse.
"
grossbabbe,MALE,"Grossbabbe:
Awer Xaverel kannsch denn dü nitt folje un brav sinn. Jetz machsch dim Schweschterle widder Arwäit
          un ass muess schun alles alläin mache, zitter ass d’Mamme dot isch — dü sottsch dich schäme e so böeser
          Bue ze sinn. Duesch a so dinn Verspracha halte, wie de dr Mamme uf-em Dotsbett gann hesch ? Hesch ere
          nitt versproche allewill brav ze sinn un im Marikel an d’Hand ze gehn. Un wann de an de Babbe dänke
          dätsch, wie mr schun vier Johr nix meh vum wisse, ze sottsch di schäme — wär wäis ob-r noch am
          Läwe-n-isch.
"
xaverel,MALE,"Xaverel:

          
"
marikel,FEMALE,"Marikel:
Do sitz an dine Platz, dir fählt dr Babbe, dass de gezöje dätsch wäre. 
          
"
schorschel,MALE,"Schorschel:
Dät mich dr Babbe äu zeje — Ja mäinsch kummt-er jetz boll?
"
xaverel,MALE,"Xaverel:
Dr Kaffe isch jo gar nitt süess — denne will ich nitt — 
          
"
marikel,FEMALE,"Marikel:
Dü hesch Zucker genuej, ich mues spare dran. Dü verdiensch üewerhäubt kenn Zucker, dü Räiwer.
"
xaverel,MALE,"Xaverel:
No drink ich äu kenn Kaffi. Ich will noch Zucker — Ich will noch Zucker.
"
