"Unnamed..0","drama_type","speaker","sex","job","job_category","social_class","text","progress","short_name","numTokens","numLexTokens","lexRatio","anger","anticipation","arousal","disgust","dominance","fear","joy","sadness","surprise","trust","valence"
0,"comedy","Jacques","M","","","","
          
Jacques:

          
Jaja, Madam. — 's isch guet, Madam! — 's wurd bsorjt, Madam!

          
(zum Publikum):

          
Wenn unseri Madam bekumme däet was ich ere wünsch, no müeßt se emol vor alle Dinge jede Daa e Kilo
          zünämme, bis se am e schöene Daa v'rknelle däet wie e gebrooteni Bluetwurscht. Die Hawwergais, die
          Häriseel, die Linsespaltere und Pfennifuchsere, die — — die gifti Krott, die miserawel! — Pardon! —
          Wenn ich mich v'rzürne wott, ze däet ich ere noch ebs ganz anderschs v'rzähle! Aw'r naan, ich will mir
          mini Ruehj reserviere. Nit daß ich mir wäeje Dere 's Läwe süür mach! — 's falt m'r in! — So ebs daet
          ere jo basse! — Denn uff dies geht se üs, Daa fer Daa. kann ich ebs d'rfür, daß ich numme valet de
          chambre bin?! - kann sie ebs d'rfür, daß sie Madam isch worre?! — Worum isch's nit umgekehrt?! — Worum
          ich sie nit valet de chambre und ich d'Madam?!-

          
(Es klingelt.)

          
Aha! — Sie schellt wid'r emol e Düür, unseri Madam ! — Die lebt jo nit ruehji, wenn se merkt, daß
          Unseraans emol e bissel schnüüfe köent.

          
(Es klingelt.)(wü-

        
",0,"riff-s-paradies",202,19,0.0940594059405941,0.615389322256432,-0.461363607461159,-0.0395875260174772,0.421850397470101,-1,1,-1,0.468074790391418,0.531821540923779,-0.84516913894679,-1
1,"comedy","Marie","F","lady’s_maid","elementary_professions","lower_class","
          
Marie

          
(bedauernd):

          
Oh, dies schöene Rösele. Gescht noch so nätt geblüejt, und hyt schun welk! — 
          
(seufzt tief auf.)
 — O ja, so isch's halt emol uff d'r Welt! — So geht's mit de Rose — so
          geht's mit de Maidle. M'r blüehjt — m'r wurd umschwärmt — m'r v'rwelkt — un wurd gemiede! 
          
(Starkes Geklirr hinter der Bühne.)

        
",1,"riff-s-paradies",68,8,0.117647058823529,0.615389322256432,-0.461363607461159,-0.0395875260174772,0.421850397470101,-1,1,-1,0.468074790391418,0.531821540923779,-0.84516913894679,-1
2,"comedy","Marie","F","lady’s_maid","elementary_professions","lower_class","
          
Marie

          
(erschrickt):

          
Uh! Do gitt's Schärwe?!

        
",2,"riff-s-paradies",9,2,0.222222222222222,0.594131170262292,-0.468027398212028,-0.0403163353125536,0.400152957628414,-0.970568090358576,0.964950826208216,-0.980952432849383,0.443186950168322,0.538121474001659,-0.857540481701518,-0.978669321025958
3,"comedy","Jacques","M","","","","
          
Jacques

          

          
(hinter der Scene):
 E Millonezunderschtzewwerst soll d'rzwische nin bängle, aans vun unte
          un aans vun owwe — wenn's will!!!

        
",3,"riff-s-paradies",24,1,0.0416666666666667,0.594131170262292,-0.468027398212028,-0.0403163353125536,0.400152957628414,-0.970568090358576,0.964950826208216,-0.980952432849383,0.443186950168322,0.538121474001659,-0.857540481701518,-0.978669321025958
4,"comedy","Marie","F","lady’s_maid","elementary_professions","lower_class","
          
Marie

          
(lachend):

          
Aha, 'skracht in d'r Kiche, no wurd's au bal rauche! 
          
(Es klingelt.)

        
",4,"riff-s-paradies",19,1,0.0526315789473684,0.553055927996093,-0.480615108252466,-0.0422847075731264,0.358525231507797,-0.913400773418961,0.897524067799338,-0.944275177228228,0.395941137103785,0.549744908150478,-0.880514428040552,-0.93671333714799
5,"comedy","Marie","F","lady’s_maid","elementary_professions","lower_class","
          
Marie

          
(lachend):

          
Hoppla! — Was hawich nit gsaat? — 's raucht schun! 
          
(Es klingelt.)

        
",5,"riff-s-paradies",18,1,0.0555555555555556,0.553055927996093,-0.480615108252466,-0.0422847075731264,0.358525231507797,-0.913400773418961,0.897524067799338,-0.944275177228228,0.395941137103785,0.549744908150478,-0.880514428040552,-0.93671333714799
6,"comedy","Jacques","M","","","","
          
Jacques

          
(hinter der Scene.:

          
Jo riß d'Schell vun d'r Wand erab, alter Nißkraawe! 
          
(Kommt hastig von rechts.)

        
",6,"riff-s-paradies",21,1,0.0476190476190476,0.494919127382266,-0.497718913822887,-0.0464628471513333,0.300350388730894,-0.83177752533798,0.802848939385277,-0.892686970412509,0.331176050614542,0.564821313359291,-0.91071259703404,-0.875510742727468
7,"comedy","Marie","F","lady’s_maid","elementary_professions","lower_class","
          
Marie

          
(lachend):

          
Oho, Jacques, so böes gelüünt?

        
",7,"riff-s-paradies",9,2,0.222222222222222,0.494919127382266,-0.497718913822887,-0.0464628471513333,0.300350388730894,-0.83177752533798,0.802848939385277,-0.892686970412509,0.331176050614542,0.564821313359291,-0.91071259703404,-0.875510742727468
8,"comedy","Jacques","M","","","","
          
Jacques

          
(wütend):

          
Wenn ich nin kumm, ze riß ich ere diesmol d'Barriek vum Schäddel, daß se au emol weiß, was schelle
          heißt! 
          
(eilt erregt nach links ab.)

        
",8,"riff-s-paradies",32,4,0.125,0.423548712529326,-0.517400489091771,-0.0541820122197118,0.230337840720775,-0.730341597728553,0.68810135307728,-0.829982950331977,0.255615382770148,0.580744266241132,-0.943451909978868,-0.797051081596843
9,"comedy","Marie","F","lady’s_maid","elementary_professions","lower_class","
          
Marie

          
(lachend):

          
's isch nit halwer eso schlimm. Wenn'r nin kummt, no isch wied'r d'Madam hinte un d'Madam vorne. —
          Ja, d'r Jacques! — Hahaha! Er isch e Dschori! — E guetmuethiger Dschorit -E aanfältiger Dschori! — Er
          het's grad wie die Hund, wie erscht's Herz han ze belle, wenn sie innewendi hinterem guet v'rrejelte
          Hofdärel stehn! — Haha! — Mit so eme Mann wär guet läewe. — So aaner dhät sich zehje loon, so wie m'r
          'ne gern hätt. — Alt genuej zum hyroothe wär 'r juschtemend, un ich glaab küm, daß ich's 'm abschlaawe
          dhäet! — Er het e paar Fränkle uff d'r SparkaB, ich hab min Gedüech un e Bettlad — brücht m'r sunscht
          noch vielerlei mehr fer de Anfang? — Was noch fehlt, schafft m'r sich so v'rplämpelterwies an. — E
          Hauptbedingung isch numme: m'r mueß z'halb Zweit sin zem hyroothe, un — — — ım'r mueß enander welle. — 
          
(setzt sich auf die Bank.)
 — M'r mueß enander welle?! — 
          
(seufzt tief auf.)
 — Wie wenn ich de Jacques nit wott?! — O Gott, o Gott, o Gott! 
          
(Jacques tritt unbemerkt von links ein.)

        
",9,"riff-s-paradies",204,20,0.0980392156862745,0.423548712529326,-0.517400489091771,-0.0541820122197118,0.230337840720775,-0.730341597728553,0.68810135307728,-0.829982950331977,0.255615382770148,0.580744266241132,-0.943451909978868,-0.797051081596843
