drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,avgLexVal,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Herr SOLO,M,,,,"
          
Herr Solo

          
(steht vom Klavier uf; er hat Müsik in dr Hand)
                    

          
So... mi Romance avanciert... die Phrase do: « Ihr
                        G'sicht isch wiss wie Schnee », die isch ganz güet
                        erfunde... (er singt) mi sol do si la sol... was kunnt
                        jetz?... (er consultiert o Manüscript uf em Tisch
                        un liest:)
                    

          

            
Se stürzt vom hoche Fels

            
Sich in dr tiefe See!

          

          
Jetz heisst's e müsikalische Phrase g'funde, fir das
                        mache z'versteh (er singt e Phrase, wo hoch afangt
                        un nieder endet). Jà, halt, nei... fir dr « hoche Fels
                        » müess ich hoche Note nàh un derno müess es si,
                        wie wenn ebbes in dr Luft schwebt (er singt): « Se
                        stürzt vom hoche Fels »... Aha!... das isch jetz emol
                        g'lunge!... dà point d'orgue will ich gli notiere (er
                        prawiert uf em Klavier) do do do la la do. (er
                        sitzt an Tisch un schribt; uf eimol hört me dur 's
                        offene Fenster e Klavier Gamme spiele) Babette!...
                        Babette!... wo stecksch wieder?
                    

          

        
",0,lustig-babette-mach-s-fenster-zue,181,20,0.24655,0.1104972375690607,,,,,,,,,,,
comedy,BABETTE,F,,,,"
          
Babette

          
(kunnt züer Thüre ine links)

          
Was isch... wo fehlt's wieder?...

        
",1,lustig-babette-mach-s-fenster-zue,14,1,0.0,0.0714285714285714,,,,,,,,,,,
comedy,Herr SOLO,M,,,,"
          
Herr Solo

          
(im schriwe; zornig)

          
Babette... mach 's Fenster züe... 's isch nimmig züem
                        üshalte... me ka kei Minüte rüehig schaffe... das
                        isch jetz scho wieder 's zweite mol hit...
                    

        
",2,lustig-babette-mach-s-fenster-zue,32,2,0.4471852140247199,0.0625,,,,,,,,,,,
comedy,BABETTE,F,,,,"
          
Babette.

          
Awer Herr Solo... wie ka Sie ne eifàltig Klavier in eso
                        ne Hitz bringe...
                    

        
",3,lustig-babette-mach-s-fenster-zue,15,2,0.038,0.1333333333333333,,,,,,,,,,,
comedy,Herr SOLO,M,,,,"
          
Herr Solo

          
(springt uf)

          
Was, e-n-eifàltig Klavier!... zwei sin's jetz oder gar
                        drei, wo mitnander spiele... eins do unter uns im
                        Erste un eins dert àne un 's andere was weiss ich wo...
                        und alle spiele falsch... un ich, wo express do
                        ane bi ku wohne, wil noch keins im Hüs un in dr
                        Nochberschaft gsi isch!... awer ich zieh wieder üs, bis
                        ass se mich emol nimmig verfolge thien!... ('s Klavier
                        hört uf).
                    

        
",4,lustig-babette-mach-s-fenster-zue,81,11,0.0662727272727272,0.1358024691358024,0.15960158825948942,0.051538181818181796,0.5021297497052706,0.05214181818181818,0.5070302186631778,0.23669788832729308,0.13437535057068076,0.14491852401499178,0.19673363636363633,0.01763308380184426,0.47734039434992503
comedy,BABETTE,F,,,,"
          
Babette.

          
Wieder üszieh!... merci! ich wàr jetz bol genüe
                        g'wandelt... denn ich ha d'ganze-n-Arwet als uf em
                        Hals... Sie bekümmere sich nitt drum... mr sin ganz
                        güet logiert do... me müess sich e wenig ebbes
                        g'falle lo... un züedem isch's jo nur ei Klavier, wo
                        spielt... Sie hàn wirklig e b'sundere Chance, Herr
                        Solo!
                    

        
",5,lustig-babette-mach-s-fenster-zue,58,10,0.0511145611818106,0.1724137931034483,0.12051450049585155,0.06863818181818179,0.4928634641155325,0.05737799616575388,0.5079592228144942,0.2223420269684096,0.13703251932317972,0.15950050266651536,0.16672691282092503,0.01984,0.4864392434809376
comedy,Herr SOLO,M,,,,"
          
Herr Solo.

          
Ah!... ich ha ne b'sundere Chance!... ass nitt zehne
                        mitnander spiele, nitt wohr?... wie will ich denn
                        composiere bi me so ne Làrme!
                    

          

            
G'sang

            
(Lieschen et Fritzchen)

            
Me thüet nit meh höre,

            
As immer Klavier,

            
Das Ding thüet mich störe,

            
Wenn ich composier;

            
Das ka nitt so düre,

            
Ich hass se, die Lit,

            
Se thien mir versüre

            
Mi Lewe, mi Zit.

            
Babette! mir ziege jetz wieder do üs!

            
Pack uf! kei Stund meh blib ich in dem Hüs.

          

        
",6,lustig-babette-mach-s-fenster-zue,82,11,0.0922727272727272,0.1341463414634146,0.13896904595039697,0.11551090909090907,0.5090831049607003,0.06079617798393568,0.581537415451983,0.12462050227748009,0.1814633531777456,0.024744865866967482,0.03296327645728866,0.04327636363636362,0.5680184886377442
comedy,BABETTE,F,,,,"
          
Babette.

          

            
Pack uf! wo ane? das isch jetz gli g'sàit!

            
Ich dank! denn 's Wandle isch fir mich kei Freid!

          

        
",7,lustig-babette-mach-s-fenster-zue,20,4,0.14025,0.2,0.07758200314545301,0.11551090909090907,0.5001911182612488,0.04199617798393568,0.5852578259873764,0.0800705022774801,0.27196841167977054,0.024744865866967482,0.03296327645728866,0.04327636363636362,0.6408358634047298
comedy,Herr SOLO,M,,,,"
            
Er.

            

              
Me thüet nit meh höre,

              
As immer Klavier,

              
Das Ding macht mich narràchtig schier!

            

          
",8,lustig-babette-mach-s-fenster-zue,15,1,0.0,0.0666666666666666,0.06998200314545301,0.11551090909090907,0.5260688604927675,0.02319617798393568,0.6572120292827667,0.0659705022774801,0.21896841167977055,0.024744865866967482,0.03296327645728866,0.17607636363636364,0.657564987514986
comedy,BABETTE,F,,,,"
            
Sie.

            

              
Ich ka's ganz güet höre,

              
Wenn g'spielt wird Klavier,

              
Ich ha dra mi grösste Plaisier!

            

          
",9,lustig-babette-mach-s-fenster-zue,17,3,0.0,0.1764705882352941,0.05672745769090757,0.07389272727272726,0.5444605874162799,0.013814359802117501,0.6821537607719911,0.05489777500475283,0.30863648322630105,0.01878122950333112,0.0181996400936523,0.17607636363636364,0.7071989181256118
