,drama_type,speaker,sex,job,job_category,social_class,text,short_name
0,comedy,Jean,M,,,,"
          
Jean :

          
(kummt mit-em Meyer sine gewichste Schueh v. 1. un reicht se zue dr Düer r. nin.)

          
Do Patron sinn d' Schueh! 
          
(geht an de Disch)
 Jetz isch schun nien Ühre un Der steht endli uf — wenn dis dr Diener
          tät mach no wär's e füler Kaib, awer dr Herr — hahaha. Der soll nächt kenni heime g'schleift hann. D'
          Stäj isch-r uf Händ un Fües eruf gegrobelt. Er wurd e schöner Katzejammer hann. Jetzt isch-r widder
          verschläckt un weiss nit wass-r esse un drinke will. Na, do hett-r jo d'Üswahl: Rollmops, Sardinle,
          Häri, Servilasalädel, Schwitzerkäs — Härz was begährsch, Stäcke wo bisch !

        
",clemens-a-latzi-visit
1,comedy,J. Meyer,M,,,,"
          
Meyer :

          
(v.r.)

          
Uutsch — ah min-r Kopf, min-r Kopf! Do hinne brummt's grad as wenn lütter Maikafer drinne rum däte
          surre.

        
",clemens-a-latzi-visit
2,comedy,Jean,M,,,,"
          
Jean :

          
(f. s.)

          
Hattsch weniger gedrunke 
          
(lütt)
 Guete Morje, Herr Meyer ! — Do sitze se anne un esse se emol e Mumpfel, no wurd's
          ne schun besser wäre.

        
",clemens-a-latzi-visit
3,comedy,J. Meyer,M,,,,"
          
Meyer :

          
Was hesch dänn Guet's? 
          
(geht an de Disch)
 Häri — brr — nein — ich kann nix esse. 
          
(setzt sich).
 Schänk mr emol e Glas Soda in, ich hab e Brand. — E Stüeckel Schwitzerkäs
          kennt i glauwi esse ohne Brot. 
          
(drinkt).
 Ah, diss küehlt ! Win kann i kenner schmecke hitt morje.

        
",clemens-a-latzi-visit
4,comedy,Jean,M,,,,"
          
Jean :

          
Jo, sie wäre genuej gebüerscht hann gescht Nacht. Sie sinn gemutzt gsinn — hahaha, e Nuntebuckel
          !

        
",clemens-a-latzi-visit
5,comedy,J. Meyer,M,,,,"
          
Meyer :

          
Was haw-i denn alles angschtellt in minere Kischt — hä?

        
",clemens-a-latzi-visit
6,comedy,Jean,M,,,,"
          
Jean :

          
Ich muess jetz noch lache, wenn i dran dänk, wie se uf Händ un Fües d'Stäj eruf gegrobelt sinn — un
          e Arweit haw-i ghett mit-ne bis Sie im Bett sinn gläje. Sie hann als mit-mr welle danze un no hann se
          im Anglais un de Cilinder uf-em Kopf in's Bett welle leje — Sie hann als gsaat: ""Ich hab kalti Fües""
          !

        
",clemens-a-latzi-visit
7,comedy,J. Meyer,M,,,,"
          
Meyer :

          
Ei, ei — uuh min-r Kopf — was der kaiwe Risling nitt alles anstellt — — puh ich schwitz ganz —
          schenk mr e Soda in! Wenn numme dr Deifel alli Süffereje hole dät...

        
",clemens-a-latzi-visit
8,comedy,Jean,M,,,,"
          
Jean :

          
Wo Sie nitt d'rbi sinn — gelle Patron !

        
",clemens-a-latzi-visit
9,comedy,J. Meyer,M,,,,"
          
Meyer :

          
Verschon mich um's Himmelswille mit dine füle Witz hit. 
          
(drinkt)
 Ah, wie guet — oh, min-r Kopf ! — Brrr ! Ich muess mich vun jetzt ab meh
          zeruckhalte im drinke, ich verdraa's nimi... awer was will i als mache wenn i Gschäfte will mache füer
          d'Assurance. Wenn i emol die Generalagentür in Strossburri hab, un ich hab Üssicht ass-es ball isch, no
          kann ich meh uf-em Büro bliewe.

        
",clemens-a-latzi-visit
