,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
0,comedy,Eddes,M,,,,"
            
EDDES:

            
Dü, Addes!

          
",0,bastian-dr-maischter-hett-gewunne
1,comedy,Addes,M,,,,"
            
ADDES:

            
Hä!

          
",0,bastian-dr-maischter-hett-gewunne
2,comedy,Eddes,M,,,,"
            
EDDES:

            
Wie hett dir die Risssubb gschmeckt hitt Middaa?

          
",1,bastian-dr-maischter-hett-gewunne
3,comedy,Addes,M,,,,"
            
ADDES:

            
Nit zuem Beschte. Sie het starik gebrenzelt.

          
",1,bastian-dr-maischter-hett-gewunne
4,comedy,Eddes,M,,,,"
            
EDDES:

            
Haha, un diss Kinderstrüempfel wo drinne gschwumme isch, haha.

          
",2,bastian-dr-maischter-hett-gewunne
5,comedy,Addes,M,,,,"
            
ADDES:

            
Dis hab ich nit gschbanne. Pfüi Deifel.

          
",2,bastian-dr-maischter-hett-gewunne
6,comedy,Eddes,M,,,,"
            
EDDES:

            
D'r Maischter hett sichs gemüetlich uff d'r Deller g'schöpft. No maant'r annoch: Agath, ich glaub
            dü hesch Gänsgries kocht? Haha, ich hab dich jo gschtupft mit-em Fuess, awer...

          
",3,bastian-dr-maischter-hett-gewunne
7,comedy,Addes,M,,,,"
            
ADDES:

            
Wenn's an's Esse geht, kenn ich nix. Ja zuem Dunder, d' Maischtere isch doch als Junggsel Köche
            gsin uff 'me grosse Herrschaftsguet.

          
",3,bastian-dr-maischter-hett-gewunne
8,comedy,Eddes,M,,,,"
            
EDDES

            
(zündet eine Zigarette an):

            
Jo siewe Johr hett sie de Söüi kocht, awer nit in d'r Herrschaft.

          
",4,bastian-dr-maischter-hett-gewunne
9,comedy,Addes,M,,,,"
            
ADDES:

            
Wenn ich so e Frau hätt, die dät ich jede Daa verkamisole.

          
",4,bastian-dr-maischter-hett-gewunne
10,comedy,Eddes,M,,,,"
            
EDDES:

            
Jo, d'r Maischter isch e patentierter Simpel.

          
",5,bastian-dr-maischter-hett-gewunne
11,comedy,Addes,M,,,,"
            
ADDES:

            
Wo steckt'r denn?

          
",5,bastian-dr-maischter-hett-gewunne
12,comedy,Eddes,M,,,,"
            
EDDES:

            
Allez, am heilige Mondaa! Do macht er e Bierreisel, Commissiönle, kauft Loterieloos mit Zahle wo
            gewinne könnte, waisch so Loos mit 3, 5, 7, 9. Der verspielt noch d' ganz Büdik.

          
",6,bastian-dr-maischter-hett-gewunne
13,comedy,Addes,M,,,,"
            
ADDES:

            
Wenn'r nume sini Alt zerscht verspiele dät, diss alt Rabbyse. Zaj loss mich au e bissel fümme.

          
",6,bastian-dr-maischter-hett-gewunne
