id,titleMain,titleSub,shortName,displayMode,edition,authorKeyBnf,authorKeyPnd,authorKeyVIAF,authorKeySUDOC,authorKeyWikidata,author,mtlAuId,publisher,musicBy,mtPbId,collection,licence,target,genre,sous-genre,ambiance,wikidata,numistralSource,urlNotNumistral,bnfSource,source,authorKeyBnf2,authorKeyPnd2,author2,publisher2,publisherFirstEdition,mtPbIdFed,print,thisEdition,premiere,premiereDate,written,premiereCity,premiereTheater,nb actes,nb scenes/acte,hasScenes,castListLang,castListIntro,roleDescSeparator,lang,comments,synthesis
1,Der Pfingstmontag,Lustspiel in Straßburger Mundart. Nach der vom Dichter durchgesehenen zweiten Ausgabe des Jahres 1816 herausgegeben von J. Lefftz und E. Marckwald,arnold-der-pfingstmontag,tei,,,,,,Q3180474,Johann Georg Daniel Arnold,35,Karl J. Trübner,,29,,,,comedy,lustspiel,urbaine,Q77593548,n.d.,,n.d,,,,,,,,1816,1916,,,,,,,,,ger,Personen,,,,
2,In's Ropfer's Apothek,Schwank in 3 Aufzügen von G. Stoskopf,stoskopf-ins-ropfers-apothek,tei,,,,,,Q923554,Gustave Stoskopf,25,Druck und Verlag der Neuen Straßburger Verlagsanstalt G. m. b. H. (Straßburger Neue Zeitung),,30,,,,comedy,schwank,petite ville/3. Aufzug urbaine (Baden-Baden),Q83786534,bpt6k9109597w,,,Numistral,,,,,,,1907,,1907,,,,,3,,,,,,,,
3,D'r Hoflieferant,Elsassiche Komödie in 3 Aufzügen von G. Stoskopf,stoskopf-dr-hoflieferant,tei,2,11925619,117304778,,,Q923554,Gustave Stoskopf,25,Schlesier & Schweikhardt,,1,,,,comedy,,urbaine/3. Aufzug rurale,Q90885236,https://www.numistral.fr/ark:/12148/bpt6k91095937.r=hoflieferant?rk=21459;2,,,Numistral,,,,,,,1906,,1905,,,Strasbourg,Strassburger Stadttheater,3,,,ger,Personen.,,,,
4,D'r Herr Maire,Lustspiel in drei Aufzügen von G. Stoskopf,stoskopf-dr-herr-maire,tei,18,11925619,117304778,,,Q923554,Gustave Stoskopf,25,"L. Jaggi-Reiss, Gundershoffen",,2,,,,comedy,lustspiel,rurale,Q106588086 ,bpt6k9109728b,,,Numistral,,,,,Schlesier & Schweikhardt,1,1898,1935,1898,,,Strasbourg,,3,1:16 auftritte - 2:29 auftritte - 3:11 auftritte,,,,,,,
5,E Dienschtbott wurd g'suecht,E Schnirichel in 1 Akt vum Camille Jost,jost-e-dienschtbott-wurd-gsuecht,html,,,,197181867,103202595,Q96489174,Camille Jost,11,"Druck und Verlag von F. X. Le Roux & Cie, Strasbourg",,3,"Le Roux Elsässichses Vereinstheater, N° 50",,,comedy,,urbaine,Q106588339,https://www.numistral.fr/ark:/12148/bpt6k91096851.r=camille%20jost?rk=171674;4,,,Numistral,,,,,,,1928,,,,,,,1,13 scenes,0,gsw,Persone:,,,,"Comédie en 1 acte. Jean est un valet de chambre malin et franc, ce qui déplaît parfois son maître Meyer. Après avoir lu l’annonce de la faillite d’une banque sur laquelle il fait des spéculations, Meyer accuse Jean injustement et le renvoie. Cependant Jean ne veut pas quitter le maître aussitôt et utilise l’aide de son ami et aussi d’un déguisement pour faire regretter Meyer d’avoir renvoyé Jean. Meyer se rend compte qu’il s’est quand même bien attaché à Jean et le reprend comme valet de chambre au final, après avoir su que la faillite annoncée de la banque était une erreur et que Jean a eu la présence d’esprit de sauver les actions que Meyer crut avoir brûlées.  (Synopsis by A. Li-Thiao-Té, MeThAL)"
6,D'r poetisch Oscar,einakter,hart-dr-poetisch-oscar,tei,,12678653,138160090,,,Q1897363,Marie Hart,8,"Edition de théatre et de musique L. Jaggi-Reiss, Gundershoffen (Bas-Rhin)",,2,,,,comedy,einakter,rurale (lieux de vacances rural),Q91900355,https://www.numistral.fr/ark:/12148/bpt6k9109761z,,,Numistral,,,,,,,1937,,,,,,,1,10 scenes,,gsw,Persone:,,,,
7,Sainte-Cécile!,Lustspiel in einem Aufzuge in Straßburger Mundart von Julius Greber,greber-sainte-cecile,tei,,,1046212222,,,Q91904226,Julius Greber,5,Schlesier & Schweikhardt,,1,,,,comedy,lustspiel,urbaine,Q92047713,https://www.numistral.fr/ark:/12148/bpt6k91095618,,,Numistral,,,,,,,1897,,,,1897,,,1,15 scenes,,gsw,Personen:,,,,
8,Sainte Barbe,Comédie in Aam Uffzug vun Jean Riff,riff-sainte-barbe,tei,,,,,,Q96696621,Jean Riff,21,"Imprimeur et Éditeur Imprimerie Gutemberg, J. Charles Schneider",,6,,,,comedy,,rurale,Q106559053,bpt6k9109587h,,,Numistral,,,,,,,1919,,,,,,,1,16 scenes,,gsw,Persone:,,,"at the beginning some comments along the lines of ""we've waited long enough to be French again""",
9,Goal!,E luschtigs Schwänkele üss'em Sportsläwe vun Jean Riff,riff-goal,ntav,,,,,,Q96696621,Jean Riff,21,"Verlag von E. Finck, Alsatica-Verlag, Strasbourg",,7,,,,comedy,schwank,petite ville,,bpt6k91096087,,,Numistral,,,,,,,1922,,,,,,,1,10 scenes,,gsw,Persone:,,,,
10,Der Zeuge,Gerichtsscene in einem Aufzug,greber-der-zeuge,ntav,,,,,,Q91904226,Julius Greber,5,Schlesier & Schweikhardt,,1,,,,comedy,gerichtsscene,urbaine,,bpt6k91095188,,,Numistral,,,,,,,1906,,,,,,,1,,,ger,Personen:,,,,
