drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,sadness_roll_mean,surprise_roll_mean,fear_roll_mean,joy_roll_mean,arousal_roll_mean,anger_roll_mean,dominance_roll_mean,valence_roll_mean,disgust_roll_mean,trust_roll_mean,anticipation_roll_mean
comedy,Hans,M,large_farmer,agriculture,upper_middle_class,"
          
Hans :

          
Wenn ich numme ellaan uff d'r Welt wär. Ach, jetzt brüehlt d'Kueh aunoch !

        
",1,bastian-dr-hans-im-schnokeloch,19,1,0.0526315789473684,,,,,,,,,,,
comedy,Casper,M,farm_worker,agriculture,lower_class,"
          
Casper :

          
Maischter ! 
          
(grüsst und bleibt an der Türe.)

        
",1,bastian-dr-hans-im-schnokeloch,13,1,0.0769230769230769,,,,,,,,,,,
comedy,Hans,M,large_farmer,agriculture,upper_middle_class,"
          
Hans :

          
(kleine Pause)

          
Wass gitt's Casper ? 
          
(Die Kuh brüllt.)

        
",1,bastian-dr-hans-im-schnokeloch,17,2,0.1176470588235294,,,,,,,,,,,
comedy,Casper,M,farm_worker,agriculture,lower_class,"
          
Casper:

          
(nach aussen mit dem Daumen über die Schulter deutend)

          
Sie blongt nooch-em Maischter.

        
",1,bastian-dr-hans-im-schnokeloch,18,1,0.0555555555555555,,,,,,,,,,,
comedy,Hans,M,large_farmer,agriculture,upper_middle_class,"
          
Hans :

          
Ich hab se schun vielmol brüehle höre müehn, un kann's-ere leider nit verbiete.

        
",1,bastian-dr-hans-im-schnokeloch,19,3,0.1578947368421052,0.3242000506227906,0.0,0.2253359151387485,0.6384892406204917,0.7101821987912426,0.1663002243357393,0.8705851101665235,0.8823103186578072,0.2414189707884448,0.0,0.0
comedy,Casper,M,farm_worker,agriculture,lower_class,"
          
Casper:

          
(grüsst und zieht die Schultern hoch)

          
Wind sin's

        
",1,bastian-dr-hans-im-schnokeloch,13,1,0.0769230769230769,0.3242000506227906,0.0,0.2253359151387485,0.0,0.1954221345981221,0.1663002243357393,0.1036976675930992,0.0488892623451362,0.2414189707884448,0.0,0.0
comedy,Hans,M,large_farmer,agriculture,upper_middle_class,"
          
Hans :

          
(wirft die Münzen in den Kasten)

          
Als nyn mit dem Dreck, de langsch nit fir diss, was ich dich will. Bisch biem Hisperle gsin ?

        
",1,bastian-dr-hans-im-schnokeloch,32,2,0.0625,0.3242000506227906,0.0,0.9002646346928109,0.0,1.0629380577724323,0.5840051062032703,0.6949484001025625,0.5001173985771824,0.7065878110285821,0.0,0.0
comedy,Hans,M,large_farmer,agriculture,upper_middle_class,"
          
Hans:

          
(ein Sonnenstrahl blendet durch das geöffnete Fenster rechts)

          
Ach, jetzt schient d'Sunn au noch 
          
(wirft den Geldbeutel in den Kasten und klappt diesen heftig zu, bemerkt Caspar)
 Bisch de
          als noch do ?

        
",1,bastian-dr-hans-im-schnokeloch,42,2,0.0476190476190476,0.3242000506227906,0.4949299062028022,0.9002646346928109,0.0,1.6379972916843104,0.5840051062032703,1.1204191202526723,0.787329474600968,0.7065878110285821,0.0,0.0
comedy,Angenes,F,,,,"
          
Angenes:

          
Bswbswbsw ! 
          
(die Katze lockend)
 Hansel, min süesser, was hesch de denn ? — Bswbswbsw 
          
(geht suchend zur Mitteltüre)
 Minettele ?

        
",1,bastian-dr-hans-im-schnokeloch,29,1,0.0344827586206896,0.3242000506227906,1.2651337716165514,0.9002646346928109,0.805405138970136,2.731742086611349,0.5840051062032703,2.0805499770768034,1.6411933458415635,0.7065878110285821,0.0,0.9898598124056044
comedy,Angenes,F,,,,"
          
Angenes:

          
Awer Hans, hett mer dich denn nit serviert ? Ei, ei, so isch's mit d'r Dante Lehn, sie denkt au
          gar nit an dich, awer gar nit. Kumm min Hansel, ess, trink, verhungersch jo noch. Dü hesch anfanges e
          Uessehns, dass 
          
de ball nim drynsiehsch, so bleich bisch de 
          
(zieht eine Spitzenarbeit aus der Tasche und häckelt ; setzt sich neben ihn).

        
",2,bastian-dr-hans-im-schnokeloch,80,2,0.025,0.0,1.2651337716165514,0.6749287195540624,0.805405138970136,2.852573862142779,0.4177048818675309,2.326643929267404,1.970370650068152,0.4651688402401372,0.0,1.4611738769727114
comedy,Hans,M,large_farmer,agriculture,upper_middle_class,"
          
Hans:

          
In dem Rattenest kreijt mer noch d'Gälsucht. E nejer Hoft muess mer her — awer d'Füchs, d'Füchs
          wölle nit lange.

        
",2,bastian-dr-hans-im-schnokeloch,28,2,0.0714285714285714,0.0,1.2651337716165514,0.6749287195540624,1.069414690643039,3.155424089598223,0.4177048818675309,2.686320157258966,2.384691242853296,0.4651688402401372,0.3576449393328926,1.9230145860325096
comedy,Angenes,F,,,,"
          
Angenes:

          
Jo, jo, ess, ich hab nix d'rgeje min Hansel. D'r Babbe Gerôme hawi breweniert, jo.

        
",2,bastian-dr-hans-im-schnokeloch,24,1,0.0416666666666666,0.0,1.2651337716165514,0.0,1.069414690643039,2.287908166423913,0.0,2.0950694247495028,1.9334631066212495,0.0,0.3576449393328926,1.9230145860325096
comedy,Hans,M,large_farmer,agriculture,upper_middle_class,"
          
Hans :

          
Wass, bin ich denn krank ?

        
",2,bastian-dr-hans-im-schnokeloch,9,1,0.1111111111111111,0.7412559441404574,0.7702038654137492,0.7404635469447913,1.069414690643039,2.257431448883278,0.3823487170280005,1.8527701754165875,1.768262159391642,0.7378404263999564,0.3576449393328926,1.9230145860325096
comedy,Angenes,F,,,,"
          
Angenes:

          
Er kummt doch zue d'r kranke Kueh, no geht's im aim Gschirr. Bswbswbsw !

        
",2,bastian-dr-hans-im-schnokeloch,19,1,0.0526315789473684,0.7412559441404574,0.0,0.7404635469447913,0.264009551672903,1.16368665395624,0.3823487170280005,0.8926393185924562,0.9143982881510462,0.7378404263999564,0.3576449393328926,0.9331547736269056
comedy,Hans,M,large_farmer,agriculture,upper_middle_class,"
          
Hans :

          
(gegen das Fenster gehend)

          
Könnt jetzt nit d'r Mond schiene, amplatz d'Sunn, die heiss. 
          
(Man hört die Kuh draussen brüllen.)

        
",2,bastian-dr-hans-im-schnokeloch,31,6,0.1935483870967742,0.7412559441404574,0.0,0.7404635469447913,0.264009551672903,1.016857023128885,0.5607978020326081,0.6842074685100504,0.637843879040912,0.7378404263999564,0.3576449393328926,0.4618407090597983
comedy,Angenes,F,,,,"
          
Angenes :

          
Ze kumm doch, sej lieb.

        
",2,bastian-dr-hans-im-schnokeloch,9,2,0.2222222222222222,0.7412559441404574,0.0,0.7404635469447913,0.5452165368886305,1.3557487712935732,0.5607978020326081,1.1113063395148115,1.1723481234181126,0.7378404263999564,0.0,0.8781636572860968
comedy,Angenes,F,,,,"
          
Angenes :

          
Horch Hansel, werum bisch de denn eso müderie ? Gell es fehlt d'r ebbs ?

        
",2,bastian-dr-hans-im-schnokeloch,18,2,0.1111111111111111,1.1962295571305332,0.4909120308426235,1.0790549642534328,0.5452165368886305,1.653384873410164,0.5607978020326081,1.286312948219527,1.3414207755706702,0.7378404263999564,0.0,0.8781636572860968
comedy,Hans,M,large_farmer,agriculture,upper_middle_class,"
          
Hans:

          
Mini Ruehj will ich hann 
          
(geht vom Fenster zurück).

        
",3,bastian-dr-hans-im-schnokeloch,14,1,0.0714285714285714,0.4549736129900759,0.4909120308426235,0.3385914173086415,1.1661670024232982,1.3994374573741533,0.1784490850046076,1.662193743428783,2.2156391305346683,0.0,0.0,0.8781636572860968
