,Id_block,valence_nrc,arousal_nrc,dominance_nrc,anger_nrc,disgust_nrc,fear_nrc,joy_nrc,sadness_nrc,surprise_nrc,valence_feel,arousal_feel,dominance_feel,anger_feel,disgust_feel,fear_feel,joy_feel,sadness_feel,surprise_feel
Id_block,1.000,-0.112,0.138,-0.016,0.161,0.124,0.113,-0.044,0.100,0.014,-0.158,0.197,-0.117,0.230,0.142,0.176,0.015,0.149,0.147
valence_nrc,-0.112,1.000,-0.378,0.527,-0.499,-0.409,-0.515,0.645,-0.490,-0.009,0.648,-0.255,0.237,-0.389,-0.305,-0.171,0.183,-0.346,0.215
arousal_nrc,0.138,-0.378,1.000,0.280,0.451,0.360,0.549,-0.245,0.279,0.188,-0.321,0.603,0.183,0.238,0.036,0.133,-0.060,0.129,-0.128
dominance_nrc,-0.016,0.527,0.280,1.000,-0.130,-0.046,-0.027,0.342,-0.154,0.120,0.271,0.183,0.477,-0.193,-0.247,-0.039,0.114,-0.200,0.093
anger_nrc,0.161,-0.499,0.451,-0.130,1.000,0.541,0.773,-0.254,0.496,0.141,-0.350,0.415,-0.028,0.342,0.267,0.180,-0.148,0.151,0.011
disgust_nrc,0.124,-0.409,0.360,-0.046,0.541,1.000,0.520,-0.238,0.437,0.025,-0.284,0.255,0.011,0.139,0.280,0.142,-0.115,0.245,-0.158
fear_nrc,0.113,-0.515,0.549,-0.027,0.773,0.520,1.000,-0.347,0.507,0.158,-0.414,0.469,-0.012,0.348,0.248,0.271,-0.093,0.207,-0.099
joy_nrc,-0.044,0.645,-0.245,0.342,-0.254,-0.238,-0.347,1.000,-0.294,-0.059,0.349,-0.145,0.109,-0.226,-0.164,-0.025,-0.054,-0.216,0.239
sadness_nrc,0.100,-0.490,0.279,-0.154,0.496,0.437,0.507,-0.294,1.000,0.146,-0.352,0.205,-0.076,0.233,0.281,0.192,-0.109,0.400,-0.116
surprise_nrc,0.014,-0.009,0.188,0.120,0.141,0.025,0.158,-0.059,0.146,1.000,0.105,0.001,0.068,-0.044,-0.106,-0.119,-0.050,-0.127,0.048
valence_feel,-0.158,0.648,-0.321,0.271,-0.350,-0.284,-0.414,0.349,-0.352,0.105,1.000,-0.406,0.498,-0.624,-0.573,-0.366,0.183,-0.568,0.110
arousal_feel,0.197,-0.255,0.603,0.183,0.415,0.255,0.469,-0.145,0.205,0.001,-0.406,1.000,0.162,0.458,0.205,0.409,-0.019,0.288,0.117
dominance_feel,-0.117,0.237,0.183,0.477,-0.028,0.011,-0.012,0.109,-0.076,0.068,0.498,0.162,1.000,-0.297,-0.410,-0.183,0.007,-0.241,-0.001
anger_feel,0.230,-0.389,0.238,-0.193,0.342,0.139,0.348,-0.226,0.233,-0.044,-0.624,0.458,-0.297,1.000,0.606,0.519,-0.101,0.346,0.033
disgust_feel,0.142,-0.305,0.036,-0.247,0.267,0.280,0.248,-0.164,0.281,-0.106,-0.573,0.205,-0.410,0.606,1.000,0.333,-0.173,0.534,0.012
fear_feel,0.176,-0.171,0.133,-0.039,0.180,0.142,0.271,-0.025,0.192,-0.119,-0.366,0.409,-0.183,0.519,0.333,1.000,-0.115,0.441,0.416
joy_feel,0.015,0.183,-0.060,0.114,-0.148,-0.115,-0.093,-0.054,-0.109,-0.050,0.183,-0.019,0.007,-0.101,-0.173,-0.115,1.000,-0.048,-0.123
sadness_feel,0.149,-0.346,0.129,-0.200,0.151,0.245,0.207,-0.216,0.400,-0.127,-0.568,0.288,-0.241,0.346,0.534,0.441,-0.048,1.000,-0.051
surprise_feel,0.147,0.215,-0.128,0.093,0.011,-0.158,-0.099,0.239,-0.116,0.048,0.110,0.117,-0.001,0.033,0.012,0.416,-0.123,-0.051,1.000
