drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
unknown,WALTHER,M,,,"Walther.
Enfin, decidier Di... entweder hasch ne gern oder hasch
                        ne nitt gern... wenn De ne gern hasch, so hiroth ne;
                        mir wàr's recht... hasch ne-n-awer nitt gern, so will
                        ich Di wege dem doch nitt zwinge derzüe!
                    
",41,6,0.0,0.14634146341463414
unknown,KÀTELE,F,,,"Kàtele.
Ich ha-n-en glaüb nitt ungern... awer eso ne Chineser
                        hirothe, Vater...
                    
",14,2,0.0,0.14285714285714285
unknown,WALTHER,M,,,"Walther.
's isch jo kei Chineser... Dü weisch's wohl!
",10,1,0.0,0.1
unknown,KÀTELE,F,,,"Kàtele.
Sobol ass er eso ne Wàdele am Kopf hat hànke un eso
                        Moustaches as wie schwarze Schnier un wie ne Chineser
                        ag'legt isch, so isch's fir mich e Chineser!
                    

            
",31,2,0.0,0.06451612903225806
unknown,WALTHER,M,,,"Walther.
Wenn ihr hirothe mitnander, so wird er wohrschinlig
                        abfahre mit sim Wàdele un sich wieder kleide wie
                        d'andere Lit!
                    
",21,1,0.0,0.047619047619047616
unknown,WALTHER,M,,,"Walther.
Was witt halt... er isch's g'wöhnt... siter im zehnte
                        Johr isch er jetz in China gsi.
                    
",18,1,0.281,0.05555555555555555
unknown,KÀTELE,F,,,"Kàtele.
Warum haltsch Dü awer jetz eso an dere Hochzit... zeig,
                        Pape?
                    
",12,1,0.0,0.08333333333333333
unknown,WALTHER,M,,,"Walther.
Los, Kàtele... ich sott Dir's eigentlig nitt sage...
                        awer ich will Dir's jetz avertraüe, fir ass De siehsch,
                        ass es Di Intresse-n-isch, Di Cüsin z'hirothe... awer
                        versprich mir, ass De nieme nit sage witt!
                    
",40,3,0.0,0.075
unknown,KÀTELE,F,,,"Kàtele.
Güet, ich versprich's... was isch denn das fir e
                        G'heimniss?
                    
",12,4,0.0,0.3333333333333333
unknown,WALTHER,M,,,"Walther.
De weisch, ass ich noch e Schwester g'ha ha, wo
                        g'storwe-n-isch grad 's Johr vor ebb mi Brüeder nach
                        China üsg'wandert isch... Di Cüsin, wo Dich jetz
                        hirothe will, isch sàllemol zeh Johr alt gsie und Dü
                        o... jetz sin ihr beide finfezwanzig.
                    
",46,2,0.0,0.043478260869565216
