erlöst => erleest
wohl => wohler
Mitnander => mit-nander
halt => halte
verlore => verloren
verlore => verloren
Mitnander => mit-nander
halt => halte
verlore => verloren
verlore => verloren
ku => kumme
Leid => Leid
Mitnander => mit-nander
lang => langer
Mitnander => mit-nander
lang => langer
glicklig => glückliche
Mitnander => mit-nander
Last => Lascht
schwere => Schwer
lang => langer
Mitnander => mit-nander
Last => Lascht
schwere => Schwer
lang => langer
glicklig => glückliche
Mitnander => mit-nander
Last => Lascht
schwere => Schwer
lang => langer
Mitnander => mit-nander
Last => Lascht
schwere => Schwer
lang => langer
Herr => Herr
Schnell => schnalle
Franz => Franz
glaüb => Glöüwe
spiele => spielen
schöne => Schön
Franz => Franz
uf => üf
uf => üf
Herr => Herr
Schnell => schnalle
uf => üf
Franz => Franz
Tochter => Doochder
uf => üf
süeche => suche
Herr => Herr
Schnell => schnalle
Familie => Famili
Ehr => Ehr
alter => alter
allei => allei
Franz => Franz
mitnander => mit-nander
Herr => Herr
Schnell => schnalle
g'macht => gemachti
Franz => Franz
Herr => Herr
Schnell => schnalle
jomere => jomere
liewer => Liawe
Unterschlupf => Unterschlupf
süeche => suche
Menschefresser => Menschefrasser
viellicht => velicht
uf => üf
lang => langer
Fir => Fir
uf => üf
Mitnander => mit-nander
glaüb => Glöüwe
Fir => Fir
Achtung => Achdung
gà => gen
wiescht => wuescht
Achtung => Achdung
gà => gen
Mitnander => mit-nander
glaüb => Glöüwe
Fir => Fir
Achtung => Achdung
gà => gen
wiescht => wuescht
Achtung => Achdung
gà => gen
Franz => Franz
still => stilli
unte => unde
verlore => verloren
Herr => Herr
Schnell => schnalle
liewer => Liawe
süeche => suche
güete => Guten
Worte => Woorte
Still => stilli
Herr => Herr
Schnell => schnalle
Franz => Franz
Franz => Franz
güete => Guten
uf => üf
Franz => Franz
Herr => Herr
Schnell => schnalle
verlore => verloren
Herr => Herr
Schnell => schnalle
viellicht => velicht
Herre => Herr
Dame => Damen
verzeihe => verzeihj
Franz => Franz
Schrei => Schreien
Herr => Herr
Schnell => schnalle
richtig => richtig
wild => wild
halt => halte
Angst => Angst
rechte => Rechte
sicherer => secher
spiele => spielen
Franz => Franz
Herr => Herr
Schnell => schnalle
verzeihe => verzeihj
halt => halte
schuldig => Schuldige
wohr => wohrer
halt => halte
Liewe => Liawe
uf => üf
Freid => Fräide
Leid => Leid
Fehler => Fæhler
Freide => Fräide
begriesst => begrüesst
halt => halte
wohr => wohrer
Herr => Herr
Schnell => schnalle
verzeihe => verzeihj
halt => halte
schuldig => Schuldige
wohr => wohrer
halt => halte
Liewe => Liawe
uf => üf
Freid => Fräide
Leid => Leid
Fehler => Fæhler
Freide => Fräide
begriesst => begrüesst
halt => halte
wohr => wohrer
Herr => Herr
Schnell => schnalle
warte => warte
bitte => Bitt
Franz => Franz
warte => warte
Mitnander => mit-nander
Fehler => Fæhler
Freide => Fräide
begriesst => begrüesst
halt => halte
schuldig => Schuldige
wohr => wohrer
verzeihe => verzeihj
Mitnander => mit-nander
Fehler => Fæhler
Freide => Fräide
begriesst => begrüesst
halt => halte
schuldig => Schuldige
wohr => wohrer
verzeihe => verzeihj
Schuld => Schulde
uf => üf
ku => kumme
Herr => Herr
Schnell => schnalle
frisch => frisch
Herr => Herr
Schnell => schnalle
Franz => Franz
wohr => wohrer
Herr => Herr
Schnell => schnalle
viellicht => velicht
Recht => Rechte
anders => andrs
uf => üf
Herr => Herr
Schnell => schnalle
wohr => wohrer
halt => halte
halt => halte
Franz => Franz
viellicht => velicht
Herr => Herr
Schnell => schnalle
schön => Schön
halt => halte
efange => anfang
Franz => Franz
gà => gen
Herr => Herr
Schnell => schnalle
Franz => Franz
Herr => Herr
Schnell => schnalle
lang => langer
grösser => grösseren
Franz => Franz
uf => üf
Mitnander => mit-nander
uf => üf
güet => Guten
klare => klär
Glick => Glüeck
Hochzit => Huchzytt
g'macht => gemachti
Wil => Wil
Mitnander => mit-nander
uf => üf
güet => Guten
klare => klär
Glick => Glüeck
Hochzit => Huchzytt
g'macht => gemachti
Wil => Wil
Mitnander => mit-nander
uf => üf
güet => Guten
klare => klär
Glick => Glüeck
Hochzit => Huchzytt
g'macht => gemachti
Wil => Wil
Mitnander => mit-nander
uf => üf
güet => Guten
klare => klär
Glick => Glüeck
Hochzit => Huchzytt
g'macht => gemachti
Wil => Wil
