drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
(kommt durch die Mitte und singt)

          
""Maiatzel, Dräckspatzel, drej Elle Güggück, es kumme drej Wiewer un esse Sürkrüt."" — 
          
(spricht)
 Drej Maiatzle haw i gedüscht für e Stüeckel Bäredräck — Was kennt m'r mit dene
          jetz anstelle? 
          
(schaut sich in der Stube um)
 Lüej do steht jo dr Meischtere ihri Schnupftüwaksbüchs!
          Wartich setz-ere Maiatzle drin — 
          
(lacht)
 Höhöhöhö! Wurd die e Schrecke bekumme wenn se e Bries nämmt. Awer sie hett's
          verdient — diss isch derfüer, will se dene Middaa am Esse so wüescht geje mich isch gsinn — die
          Madülle, die alt Kratzbüerscht, die Linsespaltere. Dene Middaa hett's min Leibgericht gänn, Dampfnüdle
          — hmm — diss müess mr ganz langsam saue — Dampfnüdle! Jetzt müess i schlucke ich hab ganz Wasser im
          Müll — un wie ich s' vierzeht Dampfnüdel lange will, ze macht se ""Kurzschluss"" un nimmt d'Platt ewäck
          un wie ich hab gsaat: ""Ich hab noch Hunger"" — no hett se de Deppiklopfer gelangt un hett gsaat: ""Do
          isch noch Hewwelandiffi un Stocksalad"" un dr Meischter hett dezü gelacht, der Knüppelüj, der hett jo
          nix ze saue, denn in dem Hüss hett d'Meischtere d'Hose an. Awer ich hab dr Meischtere ewichi Rache
          gschwore. ""Ich, dr Charlot,der König des Kino!"" 
          
(setzt die Maikäfer in die Schnupftabaksbüchse)
 So, diss isch füer Dampfnüdle, Madame
          Knüppe! Jetzt haw i noch einer — diss isch e Köenigin. 
          
(singt)
""Maikäfer, fliej, dr Vater isch im Kriej, d'Mueter isch im Pummerland,
          s'Pummerland isch abgebrannt, Maikäfer fliej!"" 
          
(markiert als wenn der Maikäfer fliegt, geht ihm nach, als wollte er ihn
          fangen.)
 Öhöhöhöö ! Jetzt fliejt er mr furt — Aah, dü setsch dich dort nuff uff de Däller —
          meinsch dert verwitsch ich dich nitt dü Drächspatzel — wart ich nämm d'Leiter vum Elektricien, no griej
          ich dich. 
          
(stellt die Doppelleiter vor die Mitteltür, so dass man, 
          
unten durch gehen kann).
 So jetzt wurr ich dich glich hann. 
          
(geht die Leiter hinauf und will den Maikäfer fangen, überdem kommt der Meister herein, durch d.
          M., der Porzellanteller fällt Knüppe auf den Cylinder.)

        
",1,clemens-charlot,427,28,0.0655737704918032,,,,,,,,,,,
comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
Diss isch e Zeiche vun Owe 
          
(lüejt)
 Naan es isch e Däller — ja, wie kummt der här? Do steht e Leiter un uff dere
          Leiter steht Einer. 
          
(geht hinauf — Charlot geht hinunter)
 Ich hab doch Einer uff dr Leiter gsähne, isch denn
          der Elektrisch noch nit ferti? 
          
(geht herunter, Charlot hinauf)
 Ja, jetz isch-r widder drowe. Bisch dü e Mensch oder e
          Geischt? Redd oder ich schiess! 
          
(zielt mit dem Schirm).

        
",2,clemens-charlot,94,11,0.1170212765957446,,,,,,,,,,,
comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
Meischter nit schiesse — ich bin's, dr Charlot!

        
",3,clemens-charlot,13,1,0.0769230769230769,,,,,,,,,,,
comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
Dü bisch's — jaa, was machsch denn dü do howe? Worum kummt der Däller uff mine Cylinder?

        
",3,clemens-charlot,23,3,0.1304347826086956,,,,,,,,,,,
comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
Meischter, ich bin nitt Schuld, do dr Maiatzel, er hett sich do uf de Däller gsetzt, awer er frisst
          se wenn ich ne verwitscht, mit eim Streich schlaa ich ne hin.

        
",3,clemens-charlot,39,4,0.1025641025641025,0.8492261171242929,0.4604766731333036,6.20610603524533,0.0,7.796994972202858,1.2685938783549824,3.927727817562409,0.0027352470378646,0.6288646417436206,2.134473223905294,7.507380798141341
comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
(holt den Knieriemen)

          
Witt dü do rab kumme, awer uf dr Gschtell!

        
",4,clemens-charlot,18,2,0.1111111111111111,0.5997129917913362,0.0364583635230575,4.964667609614003,0.0,6.379005917329748,0.968544564833316,3.45675544991425,0.0027352470378646,0.5795254804803885,1.3646427801692649,6.297370204070078
comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
Meischter ich kumm, laje numme de Rieme ewäck, ich wär doch kumme — Meischter ich berej's vom Grunde
          meines Herzens. 
          
(kummt ängstlich herunter).

        
",4,clemens-charlot,32,5,0.15625,0.7305367463168962,1.2872406275001087,4.0145885811174695,0.0,4.264417763787826,1.5337576947297342,2.012761458316008,0.0027352470378646,0.0,0.0,4.289682404493796
comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
Dü müesch emol ghöeri abgschmiert sinn, denn dü wursch alle Daa liederlicher — Aaah, dü fangsch
          Maikäfer, allwill ich mit dr Licht geh, statt ass de Schueh ferti machsch. Do kumm häre! 
          
(Knüppe stellt sich breitspurig hin)
 Do de Kopf zwische d'Fües! 
          
(Charlot kommt auf Händen und Füssen laufend, steckt den Kopf Knüppe zwischen die Beine — Knüppe
          versohlt ihm das Hinterteil mit dem Riemen.)

        
",5,clemens-charlot,81,5,0.0617283950617283,0.7321363095786548,1.2872406275001087,4.472054501443883,0.0,5.043821000088724,1.5356596759085157,2.012761458316008,0.0049234446681563,0.0,1.423049491160509,5.659265983011618
comedy,Charlot,M,shoemaker,crafts,lower_middle_class,"
          
Charlot:

          
(schreit)

          
Uuaah — Meischter, nitt so schnell — langsam — Uutsch! 
          
(witscht dem Meister durch die Beine, reibt sich das Hinterteil)
""Charlot- der König des
          Kino"" — Mensch, Maier!

        
",6,clemens-charlot,43,2,0.0465116279069767,0.7321363095786548,4.386398517058727,6.716850640193202,0.0,7.59610387312639,1.5356596759085157,3.5348046391584957,0.0049234446681563,0.0,4.957854130319004,7.445375356531921
comedy,Knüppe,M,shoemaker,crafts,lower_middle_class,"
          
Knüppe:

          
Mach die Leiter ewäck — der Elektrisch hätt se schun hole kenne, er isch jo ferti mit sinere Arweit
          — un rüm die Schärwe zamme un no an d'Arweit, sunscht rauchts noch emol in dr Fächtschuel.

        
",7,clemens-charlot,42,6,0.1428571428571428,1.0954062396600963,4.386398517058727,9.888736330306678,0.7904139338731944,10.62392950135391,2.123717642321607,4.169748933079509,0.0021881976302917,1.0624633808807125,5.791802495977999,10.012210958765236
