drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules

          

          
(sitzt auf dem Canapé und liest eine Zeitung — liest laut):
 « Prinz Yo-Yo! Wie eine
          Epidemie hast du die neue und die alte Welt angefallen ! Yo-Yo ist Trumpf !

          
(steht auf und wirft die Zeitung weg).

          
Nit ellein die nej und d'alt Welt het diss verruckte Ding üwerfalle, nein, au in mini ménage het
          sich diss Lumpeding iing'schlieche. Un wer het's eringebrocht ? Mini lieb un herzensgüet Schwejeres !
          Uessgerechent sie prowiert schunzitter 3 Wuche do in minere ménage Yo-Yo! Sie spielt am Morje wenn sie
          uffsteht, am Middaa wärenem Esse, de ganze Middaa, ja viellicht noch sogar z'Nacht-s im Bett. Un do
          solle eim nit d'Nerfe durichgehn ? s'Galee hab ich in minere Wohnung un dis alles numme, will mini lieb
          
          
un herzensgüet Schwejermamme Yo-Yo spiele will. » 
          
(Es klopft.)

        
",0,weber-yo-yo,159,17,0.1069182389937107,,,,,,,,,,,
comedy,Marie,F,domestic_worker,elementary_professions,lower_class,"
          
Marie

          
(kommt hinten herein):

          
« De Herr Dokter Schmitt isch do un will mit Ihne redde. »

        
",0,weber-yo-yo,21,2,0.0952380952380952,,,,,,,,,,,
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Er soll glich do eriin kumme. »

        
",1,weber-yo-yo,11,1,0.0909090909090909,,,,,,,,,,,
comedy,Marie,F,domestic_worker,elementary_professions,lower_class,"
          
Marie :

          
« Güet Mösjö. » 
          
(hinten ab)

        
",1,weber-yo-yo,11,1,0.0909090909090909,,,,,,,,,,,
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Roby, düe bisch mini letscht Hoffnung, düe müesch mir helfe. »

        
",2,weber-yo-yo,17,2,0.1176470588235294,0.03421576661769118,0.6144541051722239,0.7681382324021596,0.06628333296057058,0.9885300637813618,0.05548145988041424,0.2527995641237595,0.02380001660505978,0.07493392280677105,0.2100003665180945,1.0646538948979887
comedy,Dokter Robert Schmitt,M,,,,"
          
Robert :

          
« Wo fehlt's denn ? Bisch krank ? »

        
",2,weber-yo-yo,12,2,0.1666666666666666,0.156271152437521,0.5461176730705326,0.890499787974316,0.31257491036684504,0.9605388958747643,0.35113348064118954,0.1941433750499791,0.3310988738393454,0.10939999999999998,0.1964944841651533,1.0078972248872053
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Krank ? Aba. »

        
",2,weber-yo-yo,8,1,0.125,0.4080914615160934,0.5461176730705326,1.119640876219843,0.7875176888671629,0.8413271858265432,0.8404599991939736,0.1941433750499791,0.8585409847184883,0.10939999999999998,0.1328,0.8769794989973189
comedy,Dokter Robert Schmitt,M,,,,"
          
Robert :

          
« Ja, was isch denn no los ? »

        
",3,weber-yo-yo,12,2,0.1666666666666666,0.4080914615160934,0.45715286099236724,1.238711359318441,0.7875176888671629,0.9948103771450348,0.8404599991939736,0.5758884942470646,0.8585409847184883,0.38560398581304745,0.3545738502440193,1.034878953684828
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Ei diss neuje verruckte Spiel ? »

        
",4,weber-yo-yo,10,2,0.2,0.4080914615160934,0.5141528609923672,1.269988842358119,0.7875176888671629,0.9593284838908239,0.8404599991939736,0.4403451191970854,0.8585409847184883,0.48170398581304746,0.3545738502440193,0.9760468968219274
comedy,Dokter Robert Schmitt,M,,,,"
          
Robert :

          
« Ich weiss nit was düe meinsch, ich möcht numme gern wisse, werum düe mich rüefe hesch
          lonn. »

        
",5,weber-yo-yo,24,2,0.0833333333333333,0.496331546280327,0.7125859206870304,1.4191681145911117,0.8725945992946198,1.040813668963983,0.9846117350756618,0.5181116632852303,1.0026554249677528,0.5837427639215919,0.42780999756850663,1.063742808258486
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Güet, ich will dir's saawe. Roby, liewer Frind, ich bin arich unglücklich. »

        
",5,weber-yo-yo,22,4,0.1818181818181818,0.38146532269481076,0.7420945046620974,1.2802606818902753,0.6241961471561794,1.0617055436490705,0.6891044689806627,0.593773012515994,0.6990628176151962,0.5110427639215918,0.49024508499684194,1.1329366689912412
comedy,Dokter Robert Schmitt,M,,,,"
          
Robert :

          
« Unglücklich ? Ja werum denn ? »

        
",5,weber-yo-yo,10,2,0.2,0.1517328755237784,0.7420945046620974,0.9700909807981013,0.12739924287929855,0.9739238890516339,0.19837509784523016,0.6224747314107202,0.22663323970963073,0.5110427639215918,0.49024508499684194,1.0886503648080808
comedy,Dokter Robert Schmitt,M,,,,"
          
Robert :

          
« Sie spielt Yo-Yo ? Ja un weje dem losch düe mich hole ? »

        
",6,weber-yo-yo,17,1,0.0588235294117647,0.1517328755237784,0.3622416436697301,0.5869228169077811,0.12739924287929855,0.5070483493908597,0.19837509784523016,0.29813305000308693,0.22663323970963073,0.23483877810854437,0.26847123475282275,0.6124042942835243
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Ja findsch düe, dass diss nix isch, wenn eim jemand de ganze Daa in d'r ménage Yo-Yo spielt ?
          »

        
",6,weber-yo-yo,25,2,0.08,0.1517328755237784,0.3052416436697301,0.5101680672554234,0.12739924287929855,0.46838611000199115,0.19837509784523016,0.35343828391165033,0.22663323970963073,0.13873877810854437,0.26847123475282275,0.5842175463082857
comedy,Jules Kleitz,M,,,upper_middle_class,"
          
Jules :

          
« Diss weisch düe nit ? Ah düe weisch nit was Yo-Yo isch. Glücklicher Mensch ! »

        
",7,weber-yo-yo,20,1,0.05,0.06349279075954475,0.0295085839750669,0.43273884679602104,0.04232233245184166,0.41232195271231376,0.05422336196354209,0.3764717398235054,0.08251879946036612,0.0,0.06243508742833538,0.5187975883267218
