drama_type,speaker,sex,job,social_class,text
unknown,Dr Regisseur,M,movie_director,,"
          
Regisseur
(verneigt si)
Ihr Herre-n-un Dame, 's isch is Leid, awer mr känne hit
                        z'Owe nitt Theater spiele... dà junge Mensch, wo
                        d'Madame hätt solle mache, isch nitt ku, un mir wisse
                        nitt, wo-n-er isch!
"
unknown,HANS,M,,,"
          
Hans
(im Saal mit eme Parepli in dr Hand un dr Hüet in dr
                        and're)
Das isch jetz wieder g'scheidt!... un ich, wo express vo
                        Burzwiller ku bi mit em Tramwày, fir in dem Ding züe
                        z'lüege!
(er geht gege dr Scene)
(er kunnt uf d'Scene; dr Regisseur
                        geht üse un macht 'm d'Thüre vor dr Nase züe)

            
G'sang
(Michel Strogoff)
G'spielt müess si!
Ich kumm express
Vo Burzwiller hit
Bis dohi;

          
Mi Platz isch zahlt
Un. furt gang i nitt,
Ich will fir mi Geld, 
(ter)
G'spielt will ich ha;
Das geht nitt eso, 
(ter)
Ich gang nitt dra.
G'spielt müess si!
Ich kumm express
Vo Burzwiller hit,
Mi Platz isch zahlt
Un...
Tiens!... ne-n-Idee... wenn jetz mi Tochter, 's
                            Bàwele, do wàr... es, 'wo scho so lang thàt gern
                            Theater spiele 's kännt jetz schön itrete... es
                            kännt d'Madame ganz güet spiele, ich garantier
                            derfir... 's hat alle Eigeschafte derzüe... 's isch
                            zwanzig Johr alt, güet uferzoge un hat noch kei
                            junger Mensch traüe az'lüege... 's isch e wenig
                            schich!... tiens... wenn ich nitt sicher wàr, ass
                            es d'heim isch im Bett, so thàt i glaüwe, dert
                            hinte sitzt's...
(er hebt d'Hand iwer d'Aüge)
"
unknown,BAWELE,F,,,"
          
Bàwele
(im Saal)
Ich lüeg Dir züe, Vater!
"
unknown,HANS,M,,,"
          
Hans.
Isch's mögli!... hat me jetz scho-n-emol eso ebbes
                        g'sàh!... zeig, kum do fire!
"
unknown,BAWELE,F,,,"
          
Bàwela.
Ich traü nitt... 's sin gar viel Lit do!
"
unknown,HANS,M,,,"
          
Hans.
Witt jetz g'schwind do fire ku oder ich hol Di am
                        e-n-Ohr... se werde Dich nitt aweschlucke, die viele
                        Lit!
"
unknown,BAWELE,F,,,"
          
Bàwele.
Ich kumm, Vater... ich kumm!
(se geht uf d'Scene).
"
unknown,HANS,M,,,"
          
Hans.
Un ich, wo glaübt ha, 's isch rüehig d'heim im Bett und
                        traümt... ka me sich denn eigentlig uf gar nit meh
                        verlo!...
(züem Bawele)
"
unknown,BAWELE,F,,,"
          
Bàwele.
Ich bi jo nitt alleinig ku.
(fir sich)
"
unknown,HANS,M,,,"
          
Hans.
Ah sa, Dü bisch nitt alleinig ku!
"
unknown,BAWELE,F,,,"
          
Bàwele.
Eh nei, Dü bisch jo o do...
"
unknown,HANS,M,,,"
          
Hans.
Ich ha Dir awer nitt g'sàit g'ha, ass ich do ane
                        kumm...
"
unknown,BAWELE,F,,,"
          
Bàwele.
Dü hasch mr g'sàit, De giengsch geh wache bi me güete
                        Frind un do ha-n-ich mich halt iwerrede lo...
(fir
                        sich)
"
unknown,HANS,M,,,"
          
Hans.
Ah so... Dü hasch Dich lo iwerrede!... un vo wem
                        denn?...
"
unknown,BAWELE,F,,,"
          
Bàwele
(verlege)
Ich ha halt denkt...

          
"
unknown,HANS,M,,,"
          
Hans
(unterbricht se)
Nur nitt drum umme g'fahre... üse mit dr Sproch.. zeig,
                        vo wem hasch Di iwerrede lo?
"
unknown,BAWELE,F,,,"
          
Bàwele.
Vom Seppi
(se hebt 's Firtüech vor d'Aüge).
"
unknown,HANS,M,,,"
          
Hans
(zornig)
Vom Seppi ... dr Suhn vo uns'rem Nochber, dr alte Marti,
                        mi Todfind!
(er lüsgt in Saal)
"
unknown,BAWELE,F,,,"
          
Bàwele.
Mir sin jo awer enander nitt todfind, dr Seppi un
                        ich...
"
unknown,HANS,M,,,"
          
Hans.
Still!... enfin, 's isch jetz eithüen... ich kumm wieder
                        uf mi Idee z'ruck . .. wil De jetz do bisch, so kännsch
                        Dü Dich schön melde, fir Theater z'spiele.. Dü hasch
                        g'hört, ass me grad ebber brücht, fir d'Madame
                        z'mache...
"
unknown,BAWELE,F,,,"
          
Bàwele.
Jà... derf dr Seppi o mitspiele?...
"
unknown,HANS,M,,,"
          
Hans.
Scho wieder dr Seppi!...
(fir sich)
"
unknown,BAWELE,F,,,"
          
Bàwele
(rieft in Saal)
Kumm, Seppi... De brüchsch Di jetz nimmig z'verstecke...
                        Dü kasch dr Verliebte spiele!
"
unknown,SEPPI,M,,,"
          
Seppi
(im Saal)
Müess i unser Ziwelewàie-n-o mitbringe?...
"
unknown,BAWELE,F,,,"
          
Bàwele.
Natirlig!
"
unknown,SEPPI,M,,,"
          
Seppi.
Ich weiss awer nitt recht, eb i traü oder nitt!...
(er
                        geht gege dr Scene).
"
unknown,BAWELE,F,,,"
          
Bàwele.
Kumm nur!
(züe sim Vater)
"
unknown,HANS,M,,,"
          
Hans.
Ihr wàre ringer d'heim bliwe mit eürer Ziwelewàie...
"
