speaker,sex,text

dorthee,F,"Fr. Dorthee
Was dummelst di denn nit ? Hest ess jo lang triwliert
De Babbe-n-un mich au, bis mer ess resselviert
Hyt nohmedaa mit ych uf Schilke nus ze laufe,
Daß mer fürr morje früej die Millrumsküechle kaufe.
Ze mach denn emol furt, du großi Hopfestang!
"

starkhans,M,"Hr. Starkhans
Loß mier myn Lissel gehn. ’S wurd aim jo Angst e Bang
Wemmerr dich alewyl heert balje-n-un haßliere.
De dewwerst glych so wüest; es duet ’s nit mellediere
Diß Gschelts un diß Gelärms! ’S isch wohr …
"

dorthee,F,"Fr. Dorthee
Was geht ’s dich an,
ich bin syn Mueder, ich! I waiß was i vermaan.
Zeiht merr die Maidle nit, duet merr si nit kristiere,
Ze wisse si sich nie ier Lewesdaa ze rüere,
Do were Schlabbe drus, Schlofkabbe, fuli Bamble.
Zue myner Mueder Zyt henn mier müen anderst stramble!
Poz dausig un ken End …
"

lissel,F,"Lissel
I bin schunn lang gerüst
Myn liewi Mamme! ’S isch halt nur, i saa ’s …
"

starkhans,M,"Hr. Starkhans
Es wischt
Sich wayer d’Aue-n-aa. Was hesch de denn ze gryne
Myn liebs Kanästjele? Loß dyni Gukkle schyne
Recht hell un frisch wie d’ Sunn, wisch dyni Bäkkle-n-aa,
De waisch wohl, Hexebubb, daß i di liewer haa
Aß alles uf der Welt, bisch mer an ’s Herz gewachse
Wie Ebbheu an e Muur. I wett ’s gitt in ganz Sachse
Ken Maidel so wie du, so wyß, so nettlecht gschift.
Was pfubfst de denn? Was isch ’s wo di so stark angryfft?
"

lissel,F,"Lissel
I kan ’s jez nigglich, myn liewer Babbe, saaue,
Verdrießli bin i halt, von aaße niddergschlaaue.
Drum blybt’ i liewer dhaim, wenn ’s imm isch ainerlay.
Un Sie, wurr Si nit bees, myn Mamme; n-ali zway
Do newes gehn jo mit, ’s Suffeyel un syn Mueder,
Un wenn Si will, ze bhalt I myne klaine Brueder,
un gib recht uf ne-n-acht.
"

dorthee,F,"Fr. Dorthee
Was diß for Ynfäll sinn!
Kuum het sich ’s recht druf gfrait, het ’s schunn e-n-andre Sinn.
Ze mach denn wie de witt … Kumm Babbe!
"

starkhans,M,"Hr. Starkhans
Wart e bissel!
I will e Schmizzel z’erst von unserm Munggedrissel.
Kumm Lissel, gimmer ain’s. Hyt bin i gerasiert. 
Sie küßt ihn.
So … mach au daß es kracht ! Gelt! Hesch de Bart nit gspüert? 
Gehn ab.
"

