,word,valence,arousal,dominance
0,aaaaaaah,0.479,0.606,0.291
1,NO TRANSLATION,0.520,0.636,0.282
2,Aardvark,0.427,0.490,0.437
3,abasourdi,0.385,0.407,0.288
4,abaque,0.510,0.276,0.485
5,ormeau,0.500,0.480,0.412
6,abandonner,0.052,0.519,0.245
7,abandonné,0.046,0.481,0.130
8,abandon,0.128,0.430,0.202
9,confus,0.177,0.644,0.307
10,diminuer,0.255,0.696,0.604
11,réduction,0.388,0.338,0.336
12,abba,0.562,0.500,0.480
13,une abbaye,0.580,0.367,0.444
14,abbé,0.427,0.321,0.483
15,abréger,0.531,0.375,0.330
16,abréviation,0.469,0.306,0.345
17,abdomen,0.469,0.462,0.471
18,abdominal,0.490,0.456,0.445
19,enlever,0.173,0.720,0.615
20,enlèvement,0.062,0.990,0.673
21,aberrant,0.146,0.765,0.431
22,aberration,0.125,0.816,0.417
23,situation en suspens,0.330,0.510,0.292
24,abhorrer,0.125,0.602,0.349
25,horreur,0.167,0.684,0.420
26,odieux,0.229,0.750,0.474
27,respecter,0.635,0.354,0.705
28,respectueux,0.796,0.327,0.750
29,aptitude,0.875,0.510,0.816
30,abject,0.354,0.590,0.417
31,ablation,0.418,0.500,0.500
32,en feu,0.240,0.847,0.525
33,capable,0.786,0.500,0.810
34,anormal,0.137,0.604,0.309
35,anomalie,0.092,0.655,0.383
36,une planche,0.698,0.284,0.481
37,demeure,0.620,0.302,0.500
38,abolir,0.448,0.615,0.529
39,abolition,0.323,0.690,0.529
40,abominable,0.120,0.731,0.482
41,abominer,0.198,0.788,0.366
42,abomination,0.078,0.755,0.518
43,Aborigène,0.448,0.427,0.542
44,avorter,0.153,0.686,0.429
45,Avortement,0.082,0.770,0.283
46,abortif,0.090,0.776,0.280
47,abonder,0.704,0.490,0.681
48,mentionné ci-dessus,0.541,0.298,0.509
49,abracadabra,0.673,0.632,0.434
50,abrasion,0.406,0.592,0.441
51,abrasif,0.392,0.610,0.593
52,au courant,0.635,0.380,0.519
53,à l'étranger,0.677,0.596,0.561
54,abroger,0.327,0.510,0.594
55,brusque,0.271,0.819,0.545
56,brusquement,0.250,0.808,0.556
57,abcès,0.154,0.451,0.349
58,absence,0.153,0.235,0.266
59,absent,0.177,0.221,0.116
60,absent,0.235,0.330,0.279
61,absentéisme,0.404,0.273,0.357
62,Absinthe,0.481,0.510,0.462
63,absolu,0.526,0.510,0.827
64,absolution,0.715,0.500,0.664
65,absoudre,0.684,0.449,0.660
66,absorber,0.469,0.558,0.670
67,absorbé,0.490,0.471,0.519
68,absorbant,0.552,0.394,0.718
69,absorbant,0.490,0.490,0.578
70,absorption,0.609,0.422,0.446
71,abstention,0.385,0.385,0.427
72,abstention,0.271,0.264,0.509
73,abstinence,0.260,0.392,0.429
74,abstrait,0.438,0.292,0.444
75,abstraction,0.469,0.439,0.525
76,absurde,0.188,0.656,0.284
77,absurdité,0.115,0.528,0.227
