drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Seppi,M,,,,"
          
Seppi

          
(am Arm vom Franz; si sin beide vom Neüe benewelt)
                    

          
Dü... Franz... stell.. stell mi do an d'Müre

          
Un lüeg, wo mir wànn dure geh...

        
",0,lustig-z-nacht-am-zehne,29,5,0.1724137931034483,,,,,,,,,,,
comedy,Franz,M,,,,"
          
Franz.

          
Los... Seppi... bisch z'bedü.. dü.. üre!

          
Kasch nimmig denn alleinig steh?...

        
",1,lustig-z-nacht-am-zehne,13,2,0.1538461538461538,,,,,,,,,,,
comedy,Seppi,M,,,,"
          
Seppi.

          
Was, was verzählsch... De wirsch's nur meine;

          
Mi Ühre steht nitt... ich ha keine...

          
Du... Du...

        
",2,lustig-z-nacht-am-zehne,18,2,0.1111111111111111,,,,,,,,,,,
comedy,Franz,M,,,,"
          
Franz

          
(singt)

          
Ligsch mr im Sinn...

        
",3,lustig-z-nacht-am-zehne,8,1,0.125,,,,,,,,,,,
comedy,Seppi,M,,,,"
          
Seppi.

          
Nei Durscht

          
Ha-n-ich... das ha-n-i welle sage.

        
",4,lustig-z-nacht-am-zehne,12,1,0.0833333333333333,0.0,1.108758264583842,0.7068331549088898,0.0,0.7140305507963155,0.40854514113011076,0.0099963018537071,0.0103457793472335,0.014228682160603561,0.02484259310963624,0.8758920633150507
comedy,Franz,M,,,,"
          
Franz.

          
Dü bisch mr noch e schöner Burscht...

          
Dü kasch sechs Liter küm vertrage!...

          
Do... stand do dra... ich... ich will sàh,

          
Eb uns will ebber z'trinke gà...

          
Gib.. gib acht... thüe kei Käpfle schnide!...

        
",5,lustig-z-nacht-am-zehne,36,4,0.1111111111111111,0.00596243120044818,1.0320174967569637,0.6594246579349348,0.00432737274754178,0.6678955580135917,0.3825181949058133,0.01602264831729956,0.01341908581371552,0.01566976379328882,0.0219429032484074,0.8165204367413237
comedy,Seppi,M,,,,"
          
Seppi.

          
Loss mich nitt lang allei eso...

          

        
",6,lustig-z-nacht-am-zehne,7,3,0.4285714285714285,0.01310489845685844,0.7503896812020615,0.48782901044374105,0.01501514331652488,0.49190090196560804,0.2900361226505443,0.00602634646359246,0.03548725447203734,0.01260109246197042,0.01860297802104054,0.5984606871480403
comedy,Franz,M,,,,"
          
Franz

          
(geht unter dr Boge)

          
Nei... heb Di siter an de Wide...

          
Aha... do isch e Keller scho!

        
",7,lustig-z-nacht-am-zehne,20,2,0.1,0.017968932913890682,1.0229711896940505,0.6554562679345918,0.01501514331652488,0.6564299051559035,0.3985832379241555,0.00602634646359246,0.04122611527026242,0.01260109246197042,0.01133717180794514,0.8027739676719957
comedy,Seppi,M,,,,"
          
Seppi

          
(fallt um)

          
Z'hilf, Franz!... ich ha ne Parterre g'numme

          
Un ha mi Ba.. mi Babegei

          
Ag'schla... ich.. ich glaüb, 's isch entzwei...

        
",8,lustig-z-nacht-am-zehne,26,2,0.0769230769230769,0.017968932913890682,0.7544329318942108,0.49274225389465454,0.01501514331652488,0.5033703420507396,0.2951744501430458,0.019857577503988498,0.04122611527026242,0.01260109246197042,0.03224450086841894,0.6109091472686845
comedy,Franz,M,,,,"
          
Franz

          
(vo witem)

          
Di Babegei!... die Red... die dumme...

          
Ne Aff hasch... un kei iwler glaüb!

        
",9,lustig-z-nacht-am-zehne,18,3,0.1666666666666666,0.017968932913890682,0.9286095538136381,0.6001480903330672,0.01501514331652488,0.6250281289812937,0.3683556305208278,0.03469676324345198,0.0330670133662,0.0061930306925698005,0.04618272024206814,0.7627216822809919
