"drama_type","speaker","sex","job","job_category","social_class","text","numTokens","numLexTokens","lexRatio","anger","anticipation","arousal","disgust","dominance","fear","joy","sadness","surprise","trust","valence"
"comedy","Hortense","F","","",NA,"
            
HORTENSE:
Mon Dieu wie bin ich unglüecklich. 
            
(Geht evor.)
(Grient lütt. Ringt 's Nastüechel üss).
",19,2,0.105263157894737,0.0521871042774236,0.0305784282889006,-0.561267951440265,-0.298586447318385,-0.991309538050447,0.394459740825797,-0.0542888605635361,0.407614568969145,-1,-0.297296353965029,-0.166640363503546
"comedy","Octavie","M","","",NA,"
            
OCTAVIE:
Bonjour Hortense, glüecklichi Hochzittere! Loss dich umarme. Ja, was muess ich sehne? Dü
            griensch?
",15,5,0.333333333333333,0.0521871042774236,0.0305784282889006,-0.561267951440265,-0.298586447318385,-0.991309538050447,0.394459740825797,-0.0542888605635361,0.407614568969145,-1,-0.297296353965029,-0.166640363503546
"comedy","Octavie","M","","",NA,"
            
OCTAVIE:
Diner Hochzitter? Ah, nit möjlich! Kumm setz dich. 
            
(Holt zwai Stüehl, sitze näwenand.)
",16,2,0.125,0.0423238610922005,0.0500808871650198,-0.541747575788187,-0.308972128971983,-0.973470128837224,0.405774405288723,-0.0710282131919214,0.395930359953276,-0.95249898498936,-0.262869060016867,-0.15389515205509
"comedy","Hortense","F","","",NA,"
            
HORTENSE:
In e're Halbstund solle mer uff d' Mairie, derno in d'Kirich. Ich verzwiefel noch.
",16,1,0.0625,0.0423238610922005,0.0500808871650198,-0.541747575788187,-0.308972128971983,-0.973470128837224,0.405774405288723,-0.0710282131919214,0.395930359953276,-0.95249898498936,-0.262869060016867,-0.15389515205509
"comedy","Octavie","M","","",NA,"
            
OCTAVIE:
Na, ja, er wurd schun kumme. Tröscht dich. Viellicht isch-em e Hosseknopf abgschprunge, odder er
            het d'Krawatt verlajt, odder....
",21,4,0.19047619047619,0.0225864593608203,0.0872332885137068,-0.504346397028162,-0.32906994385084,-0.938938396238612,0.427501101412879,-0.103387719877052,0.373112318811806,-0.859815968478685,-0.196486159378528,-0.129007042798773
"comedy","Hortense","F","","",NA,"
            
HORTENSE:
O, ich sitz wie uff-em e Kohlefyr. 
            
(Rutscht hin un her.)
",14,1,0.0714285714285714,0.0225864593608203,0.0872332885137068,-0.504346397028162,-0.32906994385084,-0.938938396238612,0.427501101412879,-0.103387719877052,0.373112318811806,-0.859815968478685,-0.196486159378528,-0.129007042798773
"comedy","Hortense","F","","",NA,"
            
HORTENSE:
Naan, in's Kloschter. Tante Octavie, hirot nit, hirot nit. Betracht mich in mim grenzelose
            Ku-kummer. Näm dir e lawendigs Exempel an mir.
",24,4,0.166666666666667,-0.00701807865871051,0.138482746808585,-0.45221505680475,-0.357582487429537,-0.889924632917415,0.457895965488698,-0.149201864553174,0.340220364319952,-0.726468802387844,-0.102910102280076,-0.0931440684872339
"comedy","Octavie","M","","",NA,"
            
OCTAVIE:
(sifzt)
In die Verläjeheit wurr ich nie kumme.
",11,2,0.181818181818182,-0.00701807865871051,0.138482746808585,-0.45221505680475,-0.357582487429537,-0.889924632917415,0.457895965488698,-0.149201864553174,0.340220364319952,-0.726468802387844,-0.102910102280076,-0.0931440684872339
"comedy","Octavie","M","","",NA,"
            
OCTAVIE:
Was waisch denn dü vom Läwe. Ach Gott. 
            
(Sifzt schwer.)
",13,3,0.230769230769231,-0.0464105679447021,0.19886842780131,-0.389767989448641,-0.392683879524932,-0.829540770886436,0.494492401671157,-0.205399743205033,0.298745511749623,-0.558940359927463,0.0111541362890328,-0.0479692197063605
"comedy","Octavie","M","","",NA,"
            
OCTAVIE:
Hab ich gsifzt? Hortensele, ich hab mir gschwore nie ze hirote. E Mann bringt aam nix wie Sorje un
            Unglüeck. 
            
(Holt üss-em Köfferle e Stricket, setzt sich, geht d'rno hin un her, strickt
            nervös.)
",38,5,0.131578947368421,-0.0464105679447021,0.19886842780131,-0.389767989448641,-0.392683879524932,-0.829540770886436,0.494492401671157,-0.205399743205033,0.298745511749623,-0.558940359927463,0.0111541362890328,-0.0479692197063605
