drama_type,speaker,sex,job,job_category,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Hortense,F,,,,"
            
HORTENSE:
Mon Dieu wie bin ich unglüecklich. 
            
(Geht evor.)
(Grient lütt. Ringt 's Nastüechel üss).
",19,2,0.2116426358651492,0.1052631578947368,,,,,,,,,,,
comedy,Octavie,M,,,,"
            
OCTAVIE:
Bonjour Hortense, glüecklichi Hochzittere! Loss dich umarme. Ja, was muess ich sehne? Dü
            griensch?
",15,5,0.0688291223636213,0.3333333333333333,,,,,,,,,,,
comedy,Octavie,M,,,,"
            
OCTAVIE:
Diner Hochzitter? Ah, nit möjlich! Kumm setz dich. 
            
(Holt zwai Stüehl, sitze näwenand.)
",16,2,0.0,0.125,,,,,,,,,,,
comedy,Hortense,F,,,,"
            
HORTENSE:
In e're Halbstund solle mer uff d' Mairie, derno in d'Kirich. Ich verzwiefel noch.
",16,1,0.0,0.0625,,,,,,,,,,,
comedy,Octavie,M,,,,"
            
OCTAVIE:
Na, ja, er wurd schun kumme. Tröscht dich. Viellicht isch-em e Hosseknopf abgschprunge, odder er
            het d'Krawatt verlajt, odder....
",21,4,0.0,0.1904761904761904,0.056094351645754104,0.2328684483965509,0.5101232515291602,0.0414872442690992,0.5490088323420692,0.058637185257927715,0.28636929192561855,0.07749499198023968,0.035376552914577364,0.1950522431715876,0.6219678357249065
comedy,Hortense,F,,,,"
            
HORTENSE:
O, ich sitz wie uff-em e Kohlefyr. 
            
(Rutscht hin un her.)
",14,1,0.4067636876108534,0.0714285714285714,0.09511856199489495,0.2328684483965509,0.5012762626959161,0.013272355967871418,0.5024667684646347,0.11922179155374628,0.28636929192561855,0.1337727541263713,0.035376552914577364,0.13885224317158756,0.5624116699982737
comedy,Hortense,F,,,,"
            
HORTENSE:
Naan, in's Kloschter. Tante Octavie, hirot nit, hirot nit. Betracht mich in mim grenzelose
            Ku-kummer. Näm dir e lawendigs Exempel an mir.
",24,4,0.0,0.1666666666666666,0.08135273752217068,0.221482872231203,0.48686581582075317,0.0,0.5265586455063482,0.09673351427151329,0.25807032410809005,0.11129029511970903,0.02225,0.22963287223120296,0.5633867649188428
comedy,Octavie,M,,,,"
            
OCTAVIE:
(sifzt)
In die Verläjeheit wurr ich nie kumme.
",11,2,0.1095,0.1818181818181818,0.10325273752217068,0.15821698425149755,0.48794548413468036,0.0,0.48644210256491716,0.1248335142715133,0.20123511558979112,0.13859029511970902,0.02225,0.16246698425149758,0.5068658509325739
comedy,Octavie,M,,,,"
            
OCTAVIE:
Was waisch denn dü vom Läwe. Ach Gott. 
            
(Sifzt schwer.)
",13,3,0.0,0.2307692307692307,0.10325273752217068,0.22121698425149755,0.5129062726086351,0.0,0.5058916407163807,0.1514335142715133,0.15568150638986594,0.16485696178637568,0.02225,0.23693365091816423,0.49570095046353446
comedy,Octavie,M,,,,"
            
OCTAVIE:
Hab ich gsifzt? Hortensele, ich hab mir gschwore nie ze hirote. E Mann bringt aam nix wie Sorje un
            Unglüeck. 
            
(Holt üss-em Köfferle e Stricket, setzt sich, geht d'rno hin un her, strickt
            nervös.)
",38,5,0.1387527375221706,0.131578947368421,0.1310032850266048,0.21487377795209656,0.5677774448418453,0.0,0.5112159889982555,0.20078021712581595,0.15897555262578236,0.20775502081031746,0.03,0.22710044461876328,0.45914822459987203
comedy,Octavie,M,,,,"
            
OCTAVIE:
Bsunders e Mann wo Sport triebt. 
            
(Bliebt vor Hortense stehn)
(Hin un her.)
",18,2,0.2033818438054267,0.1111111111111111,0.09032691626551945,0.21487377795209656,0.5590567116810157,0.0,0.5458229680528064,0.1524134599900593,0.20277555262578234,0.15210987325046296,0.03,0.22710044461876328,0.5139648333017216
comedy,Hortense,F,,,,"
            
HORTENSE:
(steht uff, geht näwe Octavie her.)
Tante, er het mir awer versproche, dass'r üss alle Societäte...
",19,2,0.0,0.1052631578947368,0.09032691626551945,0.151606793700599,0.5508235151593144,0.0,0.5402563518467971,0.15241345999005929,0.24354043703599126,0.15210987325046296,0.03,0.17863346036726568,0.5139704371970694
comedy,Octavie,M,,,,"
            
OCTAVIE:
Bscht! Verspreche duehn sie alli, awer nix halte. Dü nadierlich mit dine zwanzig Johr, dü luejsch
            d'Männerwelt noch mit unschuldige Paradiesaue aan.
",24,4,0.1132499999999999,0.1666666666666666,0.09107691626551943,0.08830679370059902,0.521828906441547,0.014050000000000002,0.5678450265206914,0.1243134599900593,0.30018244908430425,0.12480987325046296,0.03,0.26498346036726567,0.5574605350868204
comedy,Hortense,F,,,,"
            
HORTENSE:
Statt aane ze tröschte, machsch aam 's Herz noch schwerer. O ich armer Tropf. 
            
(Grient, setzt sich).
",20,5,0.0,0.25,0.09107691626551943,0.025306793700599017,0.48274449839350353,0.03437,0.5049843999925678,0.12991345999005927,0.2582160582842294,0.1367832065837963,0.03,0.21987679370059898,0.5244201456209792
comedy,Octavie,M,,,,"
            
OCTAVIE:
Düürsch mich, Kind, awer ich bin uffrichtig. So e Mann het jo nie ken Zitt for sini Frau, d'r
            Sport isch ihm alles, alles! So e Mann isch nie d'haame, un am End vum Johr het'r e Korb voll
            Cotisatione ze zahle, wo d'Frau nix d'rvun het.
",51,7,0.0,0.1372549019607843,0.06332636876108533,0.02968571428571428,0.44775355008309115,0.05058107255195539,0.5180406953156582,0.0805667571357566,0.25752246009293833,0.09388514755985451,0.0,0.22509392734812286,0.5604051689798268
