,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
Id_block,1,-0.040098365,0.061758438,-0.003449452,0.110935247,0.132230303,0.061308808,-0.040053452,0.059124974,0.043235212,-0.047749182,-0.004987441,-0.1167816,0.118328555,-0.126422436,0.175448009,0.111132752,0.139367803,0.007829286,0.119188797,0.138239908,0.167900712,-0.038853756
valence_als,-0.040098365,1,-0.259207418,0.66201598,-0.558473521,-0.482679,-0.666981707,0.581488633,-0.655547475,0.055107316,0.475818229,0.103811918,0.366615359,-0.150542009,0.184729619,-0.249312248,-0.137327719,-0.035026142,0.109875205,-0.130127235,0.111948315,0.027727559,0.228294748
arousal_als,0.061758438,-0.259207418,1,-0.041904961,0.391938794,0.218535335,0.347570683,0.134307984,0.268651259,0.095084281,-0.198377975,0.021999153,-0.175399973,0.292263127,-0.044197908,0.14145743,0.00445005,0.015732674,-0.023608259,0.009432814,-0.012405338,0.064834654,-0.104126521
dominance_als,-0.003449452,0.66201598,-0.041904961,1,-0.217956854,-0.30353017,-0.276538163,0.196661079,-0.484878167,0.010149038,0.529662364,-0.031432801,0.255901199,-0.096486669,0.260122,-0.193558617,-0.163171309,-0.07147038,0.089835656,-0.153226222,-0.004248339,0.012437346,0.255392556
anger_als,0.110935247,-0.558473521,0.391938794,-0.217956854,1,0.580634262,0.609996706,-0.215389184,0.446295296,-0.004812469,-0.262234529,-0.165729977,-0.24564824,0.205762453,-0.092645022,0.210334871,0.061804561,0.134503121,-0.053298917,0.059864976,-0.078730278,-0.004193843,-0.153184258
disgust_als,0.132230303,-0.482679,0.218535335,-0.30353017,0.580634262,1,0.477899187,-0.308956541,0.248392582,-0.065232195,-0.325500453,-0.231131273,-0.195516119,0.065173786,-0.168588971,0.163016216,0.169904204,0.107389825,-0.042646298,0.124849653,-0.057493479,0.002263941,-0.20802572
fear_als,0.061308808,-0.666981707,0.347570683,-0.276538163,0.609996706,0.477899187,1,-0.34454501,0.659867076,0.057994425,-0.377329388,-0.204535841,-0.189843604,0.108049573,-0.092553138,0.15847455,0.072270059,0.06082868,0.002650572,0.070160941,-0.075682644,-0.059352293,-0.20182517
joy_als,-0.040053452,0.581488633,0.134307984,0.196661079,-0.215389184,-0.308956541,-0.34454501,1,-0.311957573,0.163977774,0.094412036,0.134943412,0.036337986,0.050390347,-0.056187848,0.038033038,0.009740286,0.110774223,-0.043073602,-0.04266334,0.13145269,0.036314766,-0.047487276
sadness_als,0.059124974,-0.655547475,0.268651259,-0.484878167,0.446295296,0.248392582,0.659867076,-0.311957573,1,0.028373954,-0.339154292,-0.163632413,-0.207309605,0.074461085,-0.133362989,0.104087315,0.052300275,0.00884493,-0.030466592,0.108991336,-0.077932095,-0.098243552,-0.21712442
surprise_als,0.043235212,0.055107316,0.095084281,0.010149038,-0.004812469,-0.065232195,0.057994425,0.163977774,0.028373954,1,0.031376856,0.317540948,0.045470337,0.039240078,0.033159703,-0.073083242,-0.085902395,0.042745729,-0.017552672,-0.037843968,0.116604059,0.083491596,0.022217894
