,drama_type,speaker,sex,job,job_category,social_class,text,short_name
0,comedy,Wenker,M,,,,"
            
Wenker:

            
Alleh hopp, Mäide, nur tapfer abgewasche un süfer gemacht! Hit hammer Patronsdöö, hit wurd's Hahnel löüfe! Un wenn de serwiersch, glich 's Gald ghäische! Uff de Knewwel kreijt kener nix, un wenns d'r Herr Burjermäischter salwer wär!

          
",greber-s-teschtament
1,comedy,Katarina Wenker,F,,,,"
            
Kathrin:

            
Geh doch! Mit dinere Grobhäit wursch dü dir noch alli clients vertriewe.

          
",greber-s-teschtament
2,comedy,Wenker,M,,,,"
            
Wenker:

            
Kathrin, wie steht do iwer d'r Dhür: Die Rose riecht, der Dorn der sticht, Wer gleich bezahlt, vergißt es nicht. Dis isch e gueter Spruch, grad for de Wirt gemacht. Und nooch dem Spruch wurd gezapft.

          
",greber-s-teschtament
3,comedy,Katarina Wenker,F,,,,"
            
Kathrin:

            
D'r Wirt müeß sich awer nooch de Gäscht richte, nit d' Gäscht nooch 'm Wirt.

          
",greber-s-teschtament
4,comedy,Wenker,M,,,,"
            
Wenker:

            
Nix do, nix do! — Un daß i's nit ver- giß: d'r Dilleschnieder steht noch mit 45 Mark in d'r Kried. Wenn er sie hit nit blecht, söll 'r sahn, wie er Bier bekummt. 
(Mädchen rechts ab)

          
",greber-s-teschtament
5,comedy,Katarina Wenker,F,,,,"
            
Kathrin:

            
Er wurd se schun bezahle.

          
",greber-s-teschtament
6,comedy,Wenker,M,,,,"
            
Wenker:

            
Awer wanneh, wanneh! Isch dis e-n-Art, mit so viel Gald bim Wirt ze hanke? Dis be- wiest, daß d'r Mann ken Ordnung het. Wirtsschulde — Süffschulde! Ich hab's jetz satt mit dem iwerzwerche Kamerad.

          
",greber-s-teschtament
7,comedy,Katarina Wenker,F,,,,"
            
Kathrin:

            
Seij nur stille weje denne paar Märkle. Ich bin guet d'rfor.

          
",greber-s-teschtament
8,comedy,Wenker,M,,,,"
            
Wenker:

            
Na ja... dis wäiß ich schun lang, daß dü als noch e faible hesch for denne-n-alte Sünder. Es gedankt d'r schints nimm, daß 'r dich schun emol het ab- flattere losse.

          
",greber-s-teschtament
9,comedy,Katarina Wenker,F,,,,"
            
Kathrin:

            
Pardon, dis isch nit wohr, dis müß ich besser wisse.

          
",greber-s-teschtament
10,comedy,Wenker,M,,,,"
            
Wenker:

            
Dü sollsch Racht han... 
(für sich)
 Nix verruckters als e-n-alti Jumpfer.

          
",greber-s-teschtament
11,comedy,Naz,M,,,,"
            
Naz:

            
Naz und Jockel 
(durch die Mitteltür)
 Buschur bisamme! Joel: Zwäi Shöpple, wenns beliebt. Wenker: Grad im Moment.

          
",greber-s-teschtament
12,comedy,Naz,M,,,,"
            
Naz:

            
(setzt sich mit Jockel an einen Tisch)
. Dis isch emol sicher. ....' s isch e wunderlicher, apartiger Mann gewann ... allewyl for sich un het nooch d'r Welt nix gfröujt.

          
",greber-s-teschtament
13,comedy,Jockel,M,,,,"
            
Jockel:

            
Ellän isch 'r gsasse in sim Hisel, niemes isch bi'm gewann als sini alt Hüserhaltere, un noch e paar Katze un Hund.

          
",greber-s-teschtament
14,comedy,Naz,M,,,,"
            
Naz:

            
Im Winter isch 'r als nit üs d'r Stubb nüs. Nur, wenn's Frühjohr kumme-n-isch, ze het m'r ne im Garte gsahn mit Hack un mit Schüfel. Der het noch gschafft wie e-n-Alter.

          
",greber-s-teschtament
15,comedy,Jockel,M,,,,"
            
Jockel:

            
Na... er ich öö alt gewann. Wenn äner emol siwezig uff 'm Buckel het, kann 'r nimm sööüje, er isch vun d'r jeunesse dorée.

          
",greber-s-teschtament
16,comedy,Wenker,M,,,,"
            
Wenker :

            
(bringt das Bier)

            
Galle, ihr redde vum alte Mathis 
(bleibt stehen)
.

          
",greber-s-teschtament
